studyName,studyYear,studyLoc,germplasmName,peaName,pea_type,observationLevel,observationUnitName,plotNumber,blockNumber,oat_yield,pea_yield,oat_fraction,location,management,replicate
Illinois_OatPeaIntercropPilot_2023_Urbana,2023,IL,CORRAL,delta field pea,field,plot,iCrop-UIUC-23_M461_CORRALxdelta_field_101,101,1,295.9059066,61.38296146,0.828197946,IL,intercrop,1
Illinois_OatPeaIntercropPilot_2023_Urbana,2023,IL,EXCEL,NDP150412G,field,plot,iCrop-UIUC-23_M461_EXCELxNDP150412G_102,102,1,393.1511961,28.52306089,0.932357595,IL,intercrop,1
Illinois_OatPeaIntercropPilot_2023_Urbana,2023,IL,GOLIATH,Maxum,forage,plot,iCrop-UIUC-23_M461_GOLIATHxMaxum_103,103,1,202.4970522,123.9335336,0.620337251,IL,intercrop,1
Illinois_OatPeaIntercropPilot_2023_Urbana,2023,IL,OGLE,ND Victory,field,plot,iCrop-UIUC-23_M461_OGLExND_Victory_104,104,1,326.5973873,43.03479363,0.883574007,IL,intercrop,1
Illinois_OatPeaIntercropPilot_2023_Urbana,2023,IL,IL17-7334,DS Admiral,field,plot,iCrop-UIUC-23_M461_IL17-7334xDS_Admiral_105,105,1,331.7682346,65.5529996,0.835012594,IL,intercrop,1
Illinois_OatPeaIntercropPilot_2023_Urbana,2023,IL,REINS,Maxum,forage,plot,iCrop-UIUC-23_M461_REINSxMaxum_106,106,1,229.5188994,78.06311403,0.746203905,IL,intercrop,1
Illinois_OatPeaIntercropPilot_2023_Urbana,2023,IL,OGLE,ND Victory,field,plot,iCrop-UIUC-23_M461_OGLExND_Victory_107,107,1,290.9018608,60.3821523,0.828110161,IL,intercrop,1
Illinois_OatPeaIntercropPilot_2023_Urbana,2023,IL,ESKER,DS Admiral,field,plot,iCrop-UIUC-23_M461_ESKERxDS_Admiral_108,108,1,332.2686392,78.5635186,0.808769793,IL,intercrop,1
Illinois_OatPeaIntercropPilot_2023_Urbana,2023,IL,MN18015X_004,NDP150412G,field,plot,iCrop-UIUC-23_M461_MN18015X-004xNDP150412G_109,109,1,315.5884866,48.0388394,0.867889908,IL,intercrop,1
Illinois_OatPeaIntercropPilot_2023_Urbana,2023,IL,NEWBURG,Frostmaster Peas,forage,plot,iCrop-UIUC-23_M461_NEWBURGxFrostmaster_110,110,1,251.2030977,79.23072471,0.76022211,IL,intercrop,1
Illinois_OatPeaIntercropPilot_2023_Urbana,2023,IL,WI_X10710-7,Organic 4010,forage,plot,iCrop-UIUC-23_M461_WI-X10710-7xOrganic_4010_111,111,1,275.3893189,40.19916769,0.872621564,IL,intercrop,1
Illinois_OatPeaIntercropPilot_2023_Urbana,2023,IL,A25,Organic 4010,forage,plot,iCrop-UIUC-23_M461_A25xOrganic_4010_112,112,1,225.6824643,45.03641194,0.833641405,IL,intercrop,1
Illinois_OatPeaIntercropPilot_2023_Urbana,2023,IL,SABER,NDP150231Y,field,plot,iCrop-UIUC-23_M461_SABERxNDP150231Y_113,113,1,273.3877006,67.22101486,0.802644466,IL,intercrop,1
Illinois_OatPeaIntercropPilot_2023_Urbana,2023,IL,SD190850,NDP140510Y,field,plot,iCrop-UIUC-23_M461_SD190850xNDP140510Y_114,114,1,275.8897235,74.72708351,0.786869648,IL,intercrop,1
Illinois_OatPeaIntercropPilot_2023_Urbana,2023,IL,IL17-7339,delta field pea,field,plot,iCrop-UIUC-23_M461_IL17-7339xdelta_field_115,115,1,306.2476012,51.20806839,0.856742884,IL,intercrop,1
Illinois_OatPeaIntercropPilot_2023_Urbana,2023,IL,SD181245,AUSTRIAN FIELD PEAS,forage,plot,iCrop-UIUC-23_M461_SD181245xAUSTRIAN_FIELD_116,116,1,287.0654257,81.39914454,0.779085559,IL,intercrop,1
Illinois_OatPeaIntercropPilot_2023_Urbana,2023,IL,COLT,Maxum,forage,plot,iCrop-UIUC-23_M461_COLTxMaxum_117,117,1,200.8290369,127.6031672,0.611477907,IL,intercrop,1
Illinois_OatPeaIntercropPilot_2023_Urbana,2023,IL,SD181377,ND Dawn,field,plot,iCrop-UIUC-23_M461_SD181377xND_Dawn_118,118,1,319.2581202,48.0388394,0.869209809,IL,intercrop,1
Illinois_OatPeaIntercropPilot_2023_Urbana,2023,IL,SD180580,NDP150231Y,field,plot,iCrop-UIUC-23_M461_SD180580xNDP150231Y_119,119,1,258.3755633,51.87527449,0.832795699,IL,intercrop,1
Illinois_OatPeaIntercropPilot_2023_Urbana,2023,IL,DEON,Frostmaster Peas,forage,plot,iCrop-UIUC-23_M461_DEONxFrostmaster_120,120,1,257.2079526,89.23881625,0.742416947,IL,intercrop,1
Illinois_OatPeaIntercropPilot_2023_Urbana,2023,IL,ND170307,NDP150412G,field,plot,iCrop-UIUC-23_M461_ND170307xNDP150412G_121,121,1,267.0492426,76.39509877,0.777561923,IL,intercrop,1
Illinois_OatPeaIntercropPilot_2023_Urbana,2023,IL,SPURS,Icicle Winter Peas,forage,plot,iCrop-UIUC-23_M461_SPURSxIcicle_Winter_122,122,1,343.944746,25.35383191,0.93134598,IL,intercrop,1
Illinois_OatPeaIntercropPilot_2023_Urbana,2023,IL,NATTY,ND Victory,field,plot,iCrop-UIUC-23_M461_NATTYxND_Victory_123,123,1,237.5253726,76.39509877,0.75664187,IL,intercrop,1
Illinois_OatPeaIntercropPilot_2023_Urbana,2023,IL,IL17-5238,delta field pea,field,plot,iCrop-UIUC-23_M461_IL17-5238xdelta_field_124,124,1,342.2767307,62.88417519,0.844792095,IL,intercrop,1
Illinois_OatPeaIntercropPilot_2023_Urbana,2023,IL,MN18038X_008,Organic 4010,forage,plot,iCrop-UIUC-23_M461_MN18038X-008xOrganic_4010_125,125,1,319.0913187,20.85019071,0.938665358,IL,intercrop,1
Illinois_OatPeaIntercropPilot_2023_Urbana,2023,IL,GOPHER,AUSTRIAN FIELD PEAS,forage,plot,iCrop-UIUC-23_M461_GOPHERxAUSTRIAN_FIELD_201,201,2,238.0257772,46.20402262,0.837441315,IL,intercrop,2
Illinois_OatPeaIntercropPilot_2023_Urbana,2023,IL,SADDLE,NDP140510Y,field,plot,iCrop-UIUC-23_M461_SADDLExNDP140510Y_202,202,2,297.7407234,74.56028199,0.799731183,IL,intercrop,2
Illinois_OatPeaIntercropPilot_2023_Urbana,2023,IL,IL17-7334,delta field pea,field,plot,iCrop-UIUC-23_M461_IL17-7334xdelta_field_203,203,2,322.0937461,86.40319031,0.788485096,IL,intercrop,2
Illinois_OatPeaIntercropPilot_2023_Urbana,2023,IL,MN18038X_008,delta field pea,field,plot,iCrop-UIUC-23_M461_MN18038X-008xdelta_field_204,204,2,353.452433,65.71980113,0.843215281,IL,intercrop,2
