subplot_name,subplot_id,plot_name,accession_name,plot_number,block_number,is_a_control,rep_number,row_number,col_number,subplot_number,Plant Height (Text),Pea Plant Height (Text)
SpringOatPeaIntercrop_2024_NY_1_subplot_1,714086,SpringOatPeaIntercrop_2024_NY_1,EXCEL,1,1,,1,,,1,24,0
SpringOatPeaIntercrop_2024_NY_1_subplot_2,714087,SpringOatPeaIntercrop_2024_NY_1,EXCEL,1,1,,1,,,2,28,0
SpringOatPeaIntercrop_2024_NY_1_subplot_3,714088,SpringOatPeaIntercrop_2024_NY_1,EXCEL,1,1,,1,,,3,21,0
SpringOatPeaIntercrop_2024_NY_2_subplot_1,714002,SpringOatPeaIntercrop_2024_NY_2,EXCEL,2,1,,1,,,1,30,16
SpringOatPeaIntercrop_2024_NY_2_subplot_2,714004,SpringOatPeaIntercrop_2024_NY_2,EXCEL,2,1,,1,,,2,26,15
SpringOatPeaIntercrop_2024_NY_2_subplot_3,714006,SpringOatPeaIntercrop_2024_NY_2,EXCEL,2,1,,1,,,3,24,12
SpringOatPeaIntercrop_2024_NY_3_subplot_1,714187,SpringOatPeaIntercrop_2024_NY_3,IL17-1704,3,1,,1,,,1,13,15
SpringOatPeaIntercrop_2024_NY_3_subplot_2,714189,SpringOatPeaIntercrop_2024_NY_3,IL17-1704,3,1,,1,,,2,24,20
SpringOatPeaIntercrop_2024_NY_3_subplot_3,714191,SpringOatPeaIntercrop_2024_NY_3,IL17-1704,3,1,,1,,,3,26,16
SpringOatPeaIntercrop_2024_NY_4_subplot_1,713812,SpringOatPeaIntercrop_2024_NY_4,IL17-1704,4,1,,1,,,1,20,0
SpringOatPeaIntercrop_2024_NY_4_subplot_2,713814,SpringOatPeaIntercrop_2024_NY_4,IL17-1704,4,1,,1,,,2,24,0
SpringOatPeaIntercrop_2024_NY_4_subplot_3,713815,SpringOatPeaIntercrop_2024_NY_4,IL17-1704,4,1,,1,,,3,24,0
SpringOatPeaIntercrop_2024_NY_5_subplot_1,714157,SpringOatPeaIntercrop_2024_NY_5,IL17-1253,5,1,,1,,,1,29,0
SpringOatPeaIntercrop_2024_NY_5_subplot_2,714159,SpringOatPeaIntercrop_2024_NY_5,IL17-1253,5,1,,1,,,2,24,0
SpringOatPeaIntercrop_2024_NY_5_subplot_3,714161,SpringOatPeaIntercrop_2024_NY_5,IL17-1253,5,1,,1,,,3,30,0
SpringOatPeaIntercrop_2024_NY_6_subplot_1,714270,SpringOatPeaIntercrop_2024_NY_6,IL17-1253,6,1,,1,,,1,25,16
SpringOatPeaIntercrop_2024_NY_6_subplot_2,714272,SpringOatPeaIntercrop_2024_NY_6,IL17-1253,6,1,,1,,,2,28,15
SpringOatPeaIntercrop_2024_NY_6_subplot_3,714274,SpringOatPeaIntercrop_2024_NY_6,IL17-1253,6,1,,1,,,3,22,13
SpringOatPeaIntercrop_2024_NY_7_subplot_1,714578,SpringOatPeaIntercrop_2024_NY_7,WARRIOR,7,1,,1,,,1,27,0
SpringOatPeaIntercrop_2024_NY_7_subplot_2,714580,SpringOatPeaIntercrop_2024_NY_7,WARRIOR,7,1,,1,,,2,23,0
SpringOatPeaIntercrop_2024_NY_7_subplot_3,714582,SpringOatPeaIntercrop_2024_NY_7,WARRIOR,7,1,,1,,,3,26,0
SpringOatPeaIntercrop_2024_NY_8_subplot_1,714414,SpringOatPeaIntercrop_2024_NY_8,WARRIOR,8,1,,1,,,1,24,8
SpringOatPeaIntercrop_2024_NY_8_subplot_2,714416,SpringOatPeaIntercrop_2024_NY_8,WARRIOR,8,1,,1,,,2,24,20
SpringOatPeaIntercrop_2024_NY_8_subplot_3,714418,SpringOatPeaIntercrop_2024_NY_8,WARRIOR,8,1,,1,,,3,19,14
SpringOatPeaIntercrop_2024_NY_9_subplot_1,714329,SpringOatPeaIntercrop_2024_NY_9,SD180580,9,1,,1,,,1,19,15
SpringOatPeaIntercrop_2024_NY_9_subplot_2,714331,SpringOatPeaIntercrop_2024_NY_9,SD180580,9,1,,1,,,2,23,10
SpringOatPeaIntercrop_2024_NY_9_subplot_3,714333,SpringOatPeaIntercrop_2024_NY_9,SD180580,9,1,,1,,,3,26,16
SpringOatPeaIntercrop_2024_NY_10_subplot_1,714047,SpringOatPeaIntercrop_2024_NY_10,SD180580,10,1,,1,,,1,24,0
SpringOatPeaIntercrop_2024_NY_10_subplot_2,714048,SpringOatPeaIntercrop_2024_NY_10,SD180580,10,1,,1,,,2,26,0
SpringOatPeaIntercrop_2024_NY_10_subplot_3,714049,SpringOatPeaIntercrop_2024_NY_10,SD180580,10,1,,1,,,3,23,0
SpringOatPeaIntercrop_2024_NY_11_subplot_1,714068,SpringOatPeaIntercrop_2024_NY_11,WI_X10710-7,11,1,,1,,,1,25,0
SpringOatPeaIntercrop_2024_NY_11_subplot_2,714069,SpringOatPeaIntercrop_2024_NY_11,WI_X10710-7,11,1,,1,,,2,32,0
SpringOatPeaIntercrop_2024_NY_11_subplot_3,714070,SpringOatPeaIntercrop_2024_NY_11,WI_X10710-7,11,1,,1,,,3,25,0
SpringOatPeaIntercrop_2024_NY_12_subplot_1,713672,SpringOatPeaIntercrop_2024_NY_12,WI_X10710-7,12,1,,1,,,1,24,16
SpringOatPeaIntercrop_2024_NY_12_subplot_2,713674,SpringOatPeaIntercrop_2024_NY_12,WI_X10710-7,12,1,,1,,,2,30,22
SpringOatPeaIntercrop_2024_NY_12_subplot_3,713676,SpringOatPeaIntercrop_2024_NY_12,WI_X10710-7,12,1,,1,,,3,29,18
SpringOatPeaIntercrop_2024_NY_13_subplot_1,714531,SpringOatPeaIntercrop_2024_NY_13,SD181237,13,1,,1,,,1,26,0
SpringOatPeaIntercrop_2024_NY_13_subplot_2,714533,SpringOatPeaIntercrop_2024_NY_13,SD181237,13,1,,1,,,2,27,0
SpringOatPeaIntercrop_2024_NY_13_subplot_3,714535,SpringOatPeaIntercrop_2024_NY_13,SD181237,13,1,,1,,,3,29,0
SpringOatPeaIntercrop_2024_NY_14_subplot_1,714107,SpringOatPeaIntercrop_2024_NY_14,SD181237,14,1,,1,,,1,28,19
SpringOatPeaIntercrop_2024_NY_14_subplot_2,714108,SpringOatPeaIntercrop_2024_NY_14,SD181237,14,1,,1,,,2,27,23
SpringOatPeaIntercrop_2024_NY_14_subplot_3,714109,SpringOatPeaIntercrop_2024_NY_14,SD181237,14,1,,1,,,3,27,21
SpringOatPeaIntercrop_2024_NY_15_subplot_1,713737,SpringOatPeaIntercrop_2024_NY_15,MN18015X_004,15,1,,1,,,1,28,0
SpringOatPeaIntercrop_2024_NY_15_subplot_2,713739,SpringOatPeaIntercrop_2024_NY_15,MN18015X_004,15,1,,1,,,2,29,0
SpringOatPeaIntercrop_2024_NY_15_subplot_3,713741,SpringOatPeaIntercrop_2024_NY_15,MN18015X_004,15,1,,1,,,3,22,0
SpringOatPeaIntercrop_2024_NY_16_subplot_1,714125,SpringOatPeaIntercrop_2024_NY_16,MN18015X_004,16,1,,1,,,1,24,0
SpringOatPeaIntercrop_2024_NY_16_subplot_2,714126,SpringOatPeaIntercrop_2024_NY_16,MN18015X_004,16,1,,1,,,2,32,0
SpringOatPeaIntercrop_2024_NY_16_subplot_3,714127,SpringOatPeaIntercrop_2024_NY_16,MN18015X_004,16,1,,1,,,3,26,0
SpringOatPeaIntercrop_2024_NY_17_subplot_1,714341,SpringOatPeaIntercrop_2024_NY_17,COLT,17,1,,1,,,1,30,20
SpringOatPeaIntercrop_2024_NY_17_subplot_2,714343,SpringOatPeaIntercrop_2024_NY_17,COLT,17,1,,1,,,2,26,18
SpringOatPeaIntercrop_2024_NY_17_subplot_3,714345,SpringOatPeaIntercrop_2024_NY_17,COLT,17,1,,1,,,3,22,14
SpringOatPeaIntercrop_2024_NY_18_subplot_1,713692,SpringOatPeaIntercrop_2024_NY_18,COLT,18,1,,1,,,1,23,0
SpringOatPeaIntercrop_2024_NY_18_subplot_2,713694,SpringOatPeaIntercrop_2024_NY_18,COLT,18,1,,1,,,2,29,0
SpringOatPeaIntercrop_2024_NY_18_subplot_3,713696,SpringOatPeaIntercrop_2024_NY_18,COLT,18,1,,1,,,3,29,0
SpringOatPeaIntercrop_2024_NY_19_subplot_1,714175,SpringOatPeaIntercrop_2024_NY_19,A25,19,1,,1,,,1,33,17
SpringOatPeaIntercrop_2024_NY_19_subplot_2,714177,SpringOatPeaIntercrop_2024_NY_19,A25,19,1,,1,,,2,29,20
SpringOatPeaIntercrop_2024_NY_19_subplot_3,714179,SpringOatPeaIntercrop_2024_NY_19,A25,19,1,,1,,,3,23,15
