"","studyYear","programDbId","programName","programDescription","studyDbId","studyName","studyDescription","studyDesign","plotWidth","plotLength","fieldSize","fieldTrialIsPlannedToBeGenotyped","fieldTrialIsPlannedToCross","plantingDate","harvestDate","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","germplasmEntryNumber","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","rowNumber","colNumber","entryType","plantNumber","Biomass_1_oat_g","Biomass_2_oat_g","Biomass_3_oat_g","Biomass_4_oat_g","Grain weight - g|CO_350:0005123","oat_grain_yield","Lodging","Biomass_1_pea_g","Biomass_2_pea_g","Biomass_3_pea_g","Biomass_4_pea_g","Pea grain weight - g|COMP:0000009","pea_grain_yield","Pea plant establishment - plants/ft2|COMP:0000052","Pea plant height - cm|day 151|COMP:0000087","Pea plant height - cm|day 176|COMP:0000088","Pea plant height - cm|day 196|COMP:0000089","Pea plant height - cm|day 214|COMP:0000090","Plant establishment - plants/ft2|CO_350:0005124","Plant height - cm|day 151|COMP:0000075","Plant height - cm|day 176|COMP:0000076","Plant height - cm|day 196|COMP:0000077","Plant height - cm|day 214|COMP:0000078","Biomass_1_weed_g","Biomass_2_weed_g","Biomass_3_weed_g","Biomass_4_weed_g","notes","AUSTRIAN FIELD PEAS","DS Admiral","Frostmaster Peas","Icicle Winter Peas","Maxum","ND Dawn","ND Victory","NDP140510Y","NDP150231Y","NDP150412G","Organic 4010","delta field pea","peaName","pea_type"
"1",2024,5055,"Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials",6669,"SpringOatPeaIntercrop_2024_NY","Oat breeding programs collaborating on oat intercropping trials","Augmented",1.26,NA,NA,NA,NA,"2024-May-03","2024-August-12",82,"Ithaca, NY",108381,"EXCEL","Excel",NA,"plot",711296,"SpringOatPeaIntercrop_2024_NY_1",1,1,1,1,1,"test",NA,NA,NA,NA,NA,88,38,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"monoculture"
"2",2024,5055,"Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials",6669,"SpringOatPeaIntercrop_2024_NY","Oat breeding programs collaborating on oat intercropping trials","Augmented",1.26,NA,NA,NA,NA,"2024-May-03","2024-August-12",82,"Ithaca, NY",510806,"SD180580","SD180580",NA,"plot",711256,"SpringOatPeaIntercrop_2024_NY_10",1,1,10,1,10,"test",NA,NA,NA,NA,NA,289,135,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"monoculture"
"3",2024,5055,"Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials",6669,"SpringOatPeaIntercrop_2024_NY","Oat breeding programs collaborating on oat intercropping trials","Augmented",1.26,NA,NA,NA,NA,"2024-May-03","2024-August-12",82,"Ithaca, NY",499610,"ND161488","ND161488",NA,"plot",711219,"SpringOatPeaIntercrop_2024_NY_100",1,2,100,10,1,"test",NA,NA,NA,NA,NA,224,91,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"monoculture"
"4",2024,5055,"Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials",6669,"SpringOatPeaIntercrop_2024_NY","Oat breeding programs collaborating on oat intercropping trials","Augmented",1.26,NA,NA,NA,NA,"2024-May-03","2024-August-12",82,"Ithaca, NY",499610,"ND161488","ND161488",NA,"subplot",713889,"SpringOatPeaIntercrop_2024_NY_100_subplot_1",1,2,100,10,1,"test",NA,NA,222.1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,9,30,100,134,132,NA,81.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"monoculture"
"5",2024,5055,"Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials",6669,"SpringOatPeaIntercrop_2024_NY","Oat breeding programs collaborating on oat intercropping trials","Augmented",1.26,NA,NA,NA,NA,"2024-May-03","2024-August-12",82,"Ithaca, NY",499610,"ND161488","ND161488",NA,"subplot",713891,"SpringOatPeaIntercrop_2024_NY_100_subplot_2",1,2,100,10,1,"test",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,14,30,118,129,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"monoculture"
"6",2024,5055,"Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials",6669,"SpringOatPeaIntercrop_2024_NY","Oat breeding programs collaborating on oat intercropping trials","Augmented",1.26,NA,NA,NA,NA,"2024-May-03","2024-August-12",82,"Ithaca, NY",499610,"ND161488","ND161488",NA,"subplot",713893,"SpringOatPeaIntercrop_2024_NY_100_subplot_3",1,2,100,10,1,"test",NA,NA,NA,452.1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,23,36,111,129,125,NA,NA,130.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"monoculture"
"7",2024,5055,"Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials",6669,"SpringOatPeaIntercrop_2024_NY","Oat breeding programs collaborating on oat intercropping trials","Augmented",1.26,NA,NA,NA,NA,"2024-May-03","2024-August-12",82,"Ithaca, NY",98469,"COLT","2015,Colt,Colt (RPB 50-75),GBR005 02015,GBR011 2015,POL003 50434,RPB 5075,SD020883-29",NA,"plot",711293,"SpringOatPeaIntercrop_2024_NY_101",1,3,101,1,11,"test",NA,NA,NA,NA,NA,71,29,1,NA,NA,NA,NA,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NDP150412G",NA,NA,"NDP150412G","field"
"8",2024,5055,"Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials",6669,"SpringOatPeaIntercrop_2024_NY","Oat breeding programs collaborating on oat intercropping trials","Augmented",1.26,NA,NA,NA,NA,"2024-May-03","2024-August-12",82,"Ithaca, NY",98469,"COLT","2015,Colt,Colt (RPB 50-75),GBR005 02015,GBR011 2015,POL003 50434,RPB 5075,SD020883-29",NA,"subplot",714044,"SpringOatPeaIntercrop_2024_NY_101_subplot_1",1,3,101,1,11,"test",NA,NA,NA,91.4,NA,NA,NA,NA,NA,NA,2.3,NA,NA,NA,1,11,60,0,59,14,20,96,99,102,NA,NA,277.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NDP150412G",NA,NA,"NDP150412G","field"
"9",2024,5055,"Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials",6669,"SpringOatPeaIntercrop_2024_NY","Oat breeding programs collaborating on oat intercropping trials","Augmented",1.26,NA,NA,NA,NA,"2024-May-03","2024-August-12",82,"Ithaca, NY",98469,"COLT","2015,Colt,Colt (RPB 50-75),GBR005 02015,GBR011 2015,POL003 50434,RPB 5075,SD020883-29",NA,"subplot",714045,"SpringOatPeaIntercrop_2024_NY_101_subplot_2",1,3,101,1,11,"test",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,11,48,22,58,21,26,86,97,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NDP150412G",NA,NA,"NDP150412G","field"
"10",2024,5055,"Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials",6669,"SpringOatPeaIntercrop_2024_NY","Oat breeding programs collaborating on oat intercropping trials","Augmented",1.26,NA,NA,NA,NA,"2024-May-03","2024-August-12",82,"Ithaca, NY",98469,"COLT","2015,Colt,Colt (RPB 50-75),GBR005 02015,GBR011 2015,POL003 50434,RPB 5075,SD020883-29",NA,"subplot",714046,"SpringOatPeaIntercrop_2024_NY_101_subplot_3",1,3,101,1,11,"test",NA,NA,336.1,NA,NA,NA,NA,NA,NA,40.4,NA,NA,NA,NA,6,18,63,48,65,44,28,93,91,90,NA,28.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NDP150412G",NA,NA,"NDP150412G","field"
"11",2024,5055,"Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials",6669,"SpringOatPeaIntercrop_2024_NY","Oat breeding programs collaborating on oat intercropping trials","Augmented",1.26,NA,NA,NA,NA,"2024-May-03","2024-August-12",82,"Ithaca, NY",98469,"COLT","2015,Colt,Colt (RPB 50-75),GBR005 02015,GBR011 2015,POL003 50434,RPB 5075,SD020883-29",NA,"plot",711300,"SpringOatPeaIntercrop_2024_NY_102",1,3,102,1,12,"test",NA,NA,NA,NA,NA,153,56,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"monoculture"
"12",2024,5055,"Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials",6669,"SpringOatPeaIntercrop_2024_NY","Oat breeding programs collaborating on oat intercropping trials","Augmented",1.26,NA,NA,NA,NA,"2024-May-03","2024-August-12",82,"Ithaca, NY",98469,"COLT","2015,Colt,Colt (RPB 50-75),GBR005 02015,GBR011 2015,POL003 50434,RPB 5075,SD020883-29",NA,"subplot",714217,"SpringOatPeaIntercrop_2024_NY_102_subplot_1",1,3,102,1,12,"test",NA,NA,NA,242.9,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,39,30,90,101,96,NA,NA,153.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"monoculture"
"13",2024,5055,"Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials",6669,"SpringOatPeaIntercrop_2024_NY","Oat breeding programs collaborating on oat intercropping trials","Augmented",1.26,NA,NA,NA,NA,"2024-May-03","2024-August-12",82,"Ithaca, NY",98469,"COLT","2015,Colt,Colt (RPB 50-75),GBR005 02015,GBR011 2015,POL003 50434,RPB 5075,SD020883-29",NA,"subplot",714219,"SpringOatPeaIntercrop_2024_NY_102_subplot_2",1,3,102,1,12,"test",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,24,23,89,98,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"monoculture"
"14",2024,5055,"Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials",6669,"SpringOatPeaIntercrop_2024_NY","Oat breeding programs collaborating on oat intercropping trials","Augmented",1.26,NA,NA,NA,NA,"2024-May-03","2024-August-12",82,"Ithaca, NY",98469,"COLT","2015,Colt,Colt (RPB 50-75),GBR005 02015,GBR011 2015,POL003 50434,RPB 5075,SD020883-29",NA,"subplot",714221,"SpringOatPeaIntercrop_2024_NY_102_subplot_3",1,3,102,1,12,"test",NA,NA,170.1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,28,22,91,92,97,NA,107.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"monoculture"
"15",2024,5055,"Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials",6669,"SpringOatPeaIntercrop_2024_NY","Oat breeding programs collaborating on oat intercropping trials","Augmented",1.26,NA,NA,NA,NA,"2024-May-03","2024-August-12",82,"Ithaca, NY",87218,"SPURS","IL 95-1241,IL95-1241,IL951241,Spurs",NA,"plot",711222,"SpringOatPeaIntercrop_2024_NY_103",1,3,103,1,13,"test",NA,NA,NA,NA,NA,146,50,2,NA,NA,NA,NA,39,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Organic 4010",NA,"Organic 4010","forage"
"16",2024,5055,"Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials",6669,"SpringOatPeaIntercrop_2024_NY","Oat breeding programs collaborating on oat intercropping trials","Augmented",1.26,NA,NA,NA,NA,"2024-May-03","2024-August-12",82,"Ithaca, NY",87218,"SPURS","IL 95-1241,IL95-1241,IL951241,Spurs",NA,"subplot",713847,"SpringOatPeaIntercrop_2024_NY_103_subplot_1",1,3,103,1,13,"test",NA,31.1,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,1,19,90,96,96,20,26,86,99,98,11.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Organic 4010",NA,"Organic 4010","forage"
"17",2024,5055,"Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials",6669,"SpringOatPeaIntercrop_2024_NY","Oat breeding programs collaborating on oat intercropping trials","Augmented",1.26,NA,NA,NA,NA,"2024-May-03","2024-August-12",82,"Ithaca, NY",87218,"SPURS","IL 95-1241,IL95-1241,IL951241,Spurs",NA,"subplot",713849,"SpringOatPeaIntercrop_2024_NY_103_subplot_2",1,3,103,1,13,"test",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,22,91,76,92,32,28,84,97,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Organic 4010",NA,"Organic 4010","forage"
"18",2024,5055,"Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials",6669,"SpringOatPeaIntercrop_2024_NY","Oat breeding programs collaborating on oat intercropping trials","Augmented",1.26,NA,NA,NA,NA,"2024-May-03","2024-August-12",82,"Ithaca, NY",87218,"SPURS","IL 95-1241,IL95-1241,IL951241,Spurs",NA,"subplot",713851,"SpringOatPeaIntercrop_2024_NY_103_subplot_3",1,3,103,1,13,"test",NA,NA,NA,289.8,NA,NA,NA,NA,NA,NA,123.5,NA,NA,NA,5,20,88,86,95,24,27,84,85,100,NA,NA,95.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Organic 4010",NA,"Organic 4010","forage"
"19",2024,5055,"Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials",6669,"SpringOatPeaIntercrop_2024_NY","Oat breeding programs collaborating on oat intercropping trials","Augmented",1.26,NA,NA,NA,NA,"2024-May-03","2024-August-12",82,"Ithaca, NY",87218,"SPURS","IL 95-1241,IL95-1241,IL951241,Spurs",NA,"plot",711332,"SpringOatPeaIntercrop_2024_NY_104",1,3,104,1,14,"test",NA,NA,NA,NA,NA,357,112,2,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"monoculture"
"20",2024,5055,"Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials",6669,"SpringOatPeaIntercrop_2024_NY","Oat breeding programs collaborating on oat intercropping trials","Augmented",1.26,NA,NA,NA,NA,"2024-May-03","2024-August-12",82,"Ithaca, NY",87218,"SPURS","IL 95-1241,IL95-1241,IL951241,Spurs",NA,"subplot",714299,"SpringOatPeaIntercrop_2024_NY_104_subplot_1",1,3,104,1,14,"test",NA,34.8,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,24,25,89,97,95,10.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"monoculture"
"21",2024,5055,"Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials",6669,"SpringOatPeaIntercrop_2024_NY","Oat breeding programs collaborating on oat intercropping trials","Augmented",1.26,NA,NA,NA,NA,"2024-May-03","2024-August-12",82,"Ithaca, NY",87218,"SPURS","IL 95-1241,IL95-1241,IL951241,Spurs",NA,"subplot",714301,"SpringOatPeaIntercrop_2024_NY_104_subplot_2",1,3,104,1,14,"test",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,20,23,88,98,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"monoculture"
"22",2024,5055,"Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials",6669,"SpringOatPeaIntercrop_2024_NY","Oat breeding programs collaborating on oat intercropping trials","Augmented",1.26,NA,NA,NA,NA,"2024-May-03","2024-August-12",82,"Ithaca, NY",87218,"SPURS","IL 95-1241,IL95-1241,IL951241,Spurs",NA,"subplot",714303,"SpringOatPeaIntercrop_2024_NY_104_subplot_3",1,3,104,1,14,"test",NA,NA,NA,257.1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,8,24,86,106,101,NA,NA,161.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"monoculture"
"23",2024,5055,"Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials",6669,"SpringOatPeaIntercrop_2024_NY","Oat breeding programs collaborating on oat intercropping trials","Augmented",1.26,NA,NA,NA,NA,"2024-May-03","2024-August-12",82,"Ithaca, NY",201461,"WI_X10710-7","WI X10710-7,WIX10710-7,X10710-7",NA,"plot",711190,"SpringOatPeaIntercrop_2024_NY_105",1,3,105,1,15,"test",NA,NA,NA,NA,NA,472,127,2,NA,NA,NA,NA,48,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DS Admiral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DS Admiral","field"
"24",2024,5055,"Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials",6669,"SpringOatPeaIntercrop_2024_NY","Oat breeding programs collaborating on oat intercropping trials","Augmented",1.26,NA,NA,NA,NA,"2024-May-03","2024-August-12",82,"Ithaca, NY",201461,"WI_X10710-7","WI X10710-7,WIX10710-7,X10710-7",NA,"subplot",713724,"SpringOatPeaIntercrop_2024_NY_105_subplot_1",1,3,105,1,15,"test",NA,NA,219.4,NA,NA,NA,NA,NA,NA,25.2,NA,NA,NA,NA,3,17,57,55,61,16,24,80,100,106,NA,95.8,NA,NA,NA,NA,"DS Admiral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DS Admiral","field"
"25",2024,5055,"Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials",6669,"SpringOatPeaIntercrop_2024_NY","Oat breeding programs collaborating on oat intercropping trials","Augmented",1.26,NA,NA,NA,NA,"2024-May-03","2024-August-12",82,"Ithaca, NY",201461,"WI_X10710-7","WI X10710-7,WIX10710-7,X10710-7",NA,"subplot",713726,"SpringOatPeaIntercrop_2024_NY_105_subplot_2",1,3,105,1,15,"test",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,18,64,63,97,28,23,84,96,101,NA,NA,NA,NA,NA,NA,"DS Admiral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DS Admiral","field"
"26",2024,5055,"Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials",6669,"SpringOatPeaIntercrop_2024_NY","Oat breeding programs collaborating on oat intercropping trials","Augmented",1.26,NA,NA,NA,NA,"2024-May-03","2024-August-12",82,"Ithaca, NY",201461,"WI_X10710-7","WI X10710-7,WIX10710-7,X10710-7",NA,"subplot",713728,"SpringOatPeaIntercrop_2024_NY_105_subplot_3",1,3,105,1,15,"test",NA,NA,NA,195.2,NA,NA,NA,NA,NA,NA,48.2,NA,NA,NA,8,18,75,73,69,27,26,94,103,109,NA,NA,163.3,NA,NA,NA,"DS Admiral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DS Admiral","field"
"27",2024,5055,"Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials",6669,"SpringOatPeaIntercrop_2024_NY","Oat breeding programs collaborating on oat intercropping trials","Augmented",1.26,NA,NA,NA,NA,"2024-May-03","2024-August-12",82,"Ithaca, NY",201461,"WI_X10710-7","WI X10710-7,WIX10710-7,X10710-7",NA,"plot",711265,"SpringOatPeaIntercrop_2024_NY_106",1,3,106,1,16,"test",NA,NA,NA,NA,NA,322,117,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"monoculture"
"28",2024,5055,"Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials",6669,"SpringOatPeaIntercrop_2024_NY","Oat breeding programs collaborating on oat intercropping trials","Augmented",1.26,NA,NA,NA,NA,"2024-May-03","2024-August-12",82,"Ithaca, NY",201461,"WI_X10710-7","WI X10710-7,WIX10710-7,X10710-7",NA,"subplot",713919,"SpringOatPeaIntercrop_2024_NY_106_subplot_1",1,3,106,1,16,"test",NA,NA,257.2,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,22,25,74,98,98,NA,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"monoculture"
