"studyYear","programDbId","programName","programDescription","studyDbId","studyName","studyDescription","studyDesign","plotWidth","plotLength","fieldSize","fieldTrialIsPlannedToBeGenotyped","fieldTrialIsPlannedToCross","plantingDate","harvestDate","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","rowNumber","colNumber","entryType","plantNumber","intercropGermplasmDbId","intercropGermplasmName","germplasmEntryNumber","Heading date - Julian day|CO_350:0000270","Lodging severity - 0-9 Rating|CO_350:0005007","Pea Flowering Date - 10% - Julian Day|CO_xxx:0003014","Pea Plant Establishment - plants/ft2|CO_xxx:0003011","Pea Plant Height - cm|CO_xxx:0003005","Pea Plant Height - cm|timepoint 1|COMP:0000122","Pea Plant Height - cm|timepoint 2|COMP:0000123","Plant establishment - plants/ft2|CO_350:0005124","Plant height - cm|CO_350:0000232","Plant height - cm|timepoint 1|COMP:0000114","Plant height - cm|timepoint 2|COMP:0000115","notes"
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704459","IL23-260","IL23-260","plot","733786","B4I_2025_AL_1001","1","1","1001","1","1","test","","733468","NDP250174Y","","122","0","115","5","18","18","39","12","26","26","66",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704459","IL23-260","IL23-260","subplot","736095","B4I_2025_AL_1001_subplot_1","1","1","1001","1","1","test","","","","","","","","5","","16","37","11","","26","71",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704459","IL23-260","IL23-260","subplot","736096","B4I_2025_AL_1001_subplot_2","1","1","1001","1","1","test","","","","","","","","3","","15","37","12","","23","61",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704459","IL23-260","IL23-260","subplot","736097","B4I_2025_AL_1001_subplot_3","1","1","1001","1","1","test","","","","","","","","5","","18","39","12","","26","66",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704592","IL23-963","IL23-963","plot","733642","B4I_2025_AL_1002","1","1","1002","1","2","test","","733502","NDP170336G","","122","0","115","1","17","17","42","10","21","21","68",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704592","IL23-963","IL23-963","subplot","735855","B4I_2025_AL_1002_subplot_1","1","1","1002","1","2","test","","","","","","","","3","","20","45","14","","25","64",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704592","IL23-963","IL23-963","subplot","735856","B4I_2025_AL_1002_subplot_2","1","1","1002","1","2","test","","","","","","","","1","","21","52","10","","24","64",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704592","IL23-963","IL23-963","subplot","735857","B4I_2025_AL_1002_subplot_3","1","1","1002","1","2","test","","","","","","","","1","","17","42","10","","21","68",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704726","IL23-2956","IL23-2956","plot","733701","B4I_2025_AL_1003","1","1","1003","1","3","test","","733289","NDP250149G","","122","1","115","6","21","21","46","17","21","21","74",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6821","B4I_2025_AL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-February-25","","191","Tallassee, AL","704726","IL23-2956","IL23-2956","subplot","735558","B4I_2025_AL_1003_subplot_1","1","1","1003","1","3","test","","","","","","","","3","","18","38","12","","23","75",""
