"studyYear","programDbId","programName","programDescription","studyDbId","studyName","studyDescription","studyDesign","plotWidth","plotLength","fieldSize","fieldTrialIsPlannedToBeGenotyped","fieldTrialIsPlannedToCross","plantingDate","harvestDate","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","rowNumber","colNumber","entryType","plantNumber","intercropGermplasmDbId","intercropGermplasmName","germplasmEntryNumber","Grain weight - g|CO_350:0005123","Grain yield - g/m2|CO_350:0000260","Heading date - Julian day|CO_350:0000270","Lodging incidence - percent|CO_350:0000165","Lodging severity - 0-9 Rating|CO_350:0005007","Maturity date - Julian day|CO_350:0000271","Pea Flowering Date - 10% - Julian Day|CO_xxx:0003014","Pea Grain Weight - g|CO_xxx:0003006","Pea Grain Yield - g/m2|CO_xxx:0003008","Pea Maturity Date - Julian Day|CO_xxx:0003015","Pea Plant Establishment - plants/ft2|CO_xxx:0003011","Pea Plant Height - cm|timepoint 1|COMP:0000122","Pea Plant Height - cm|timepoint 2|COMP:0000123","Pea Plant Height - cm|timepoint 3|COMP:0000124","Plant establishment - plants/ft2|CO_350:0005124","Plant height - cm|timepoint 1|COMP:0000114","Plant height - cm|timepoint 2|COMP:0000115","Plant height - cm|timepoint 3|COMP:0000116","Test weight - g/L|CO_350:0000259","notes"
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6881","B4I_2025_IL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","1.4","3.65","","","","2025-April-25","2025-July-08","140","Urbana, IL","704783","IL23-763","IL23-763","plot","754837","B4I_2025_IL_1001","1","8","1001","10","40","test","","733455","NDP250134G","","2012.995964","393.932674","150","5","1","173","149","432.9991319","84.73564224","175","3","38","50","66.04","9","44","80","101.6","432.9004329","T1-05/15/25_T2-05/30/25_T3-06/10/25 (Operator: pthyde123, Time: )"
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6881","B4I_2025_IL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","1.4","3.65","","","","2025-April-25","2025-July-08","140","Urbana, IL","705038","IL23-2443","IL23-2443","plot","754757","B4I_2025_IL_1002","1","8","1002","10","39","test","","733442","NDP250099Y","","2257.995473","441.8777833","152","2","2","175","153","364.9992682","71.42842822","177","9","34","46","66.04","14","38","70","86.36","438.1797065","T1-05/15/25_T2-05/30/25_T3-06/10/25 (Operator: pthyde123, Time: )"
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6881","B4I_2025_IL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","1.4","3.65","","","","2025-April-25","2025-July-08","140","Urbana, IL","544481","IL22-1019","","plot","754789","B4I_2025_IL_1003","1","8","1003","10","38","test","","733467","NDP250079Y","","1700.99659","332.8760449","146","5","1","173","151","557.9988812","109.1974327","182","8","37","54","81.28","21","42","79","91.44","443.45898","T1-05/15/25_T2-05/30/25_T3-06/10/25 (Operator: pthyde123, Time: )"
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6881","B4I_2025_IL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","1.4","3.65","","","","2025-April-25","2025-July-08","140","Urbana, IL","704770","IL23-3621","IL23-3621","plot","754633","B4I_2025_IL_1004","1","8","1004","10","37","test","","733413","NDP250153Y","","2000.995988","391.5843421","148","5","1","173","148","413.9991699","81.01745009","175","6","34","54","60.96","26","39","77","101.6","492.7322","T1-05/15/25_T2-05/30/25_T3-06/10/25 (Operator: pthyde123, Time: )"
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6881","B4I_2025_IL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","1.4","3.65","","","","2025-April-25","2025-July-08","140","Urbana, IL","704491","IL23-660","IL23-660","plot","754866","B4I_2025_IL_1005","1","8","1005","10","36","test","","733387","NDP250168Y","","2171.995645","425.0480715","148","0","0","173","149","313.9993704","61.4480177","175","3","44","55","66.04","28","46","86","101.6","467.2157111","T1-05/15/25_T2-05/30/25_T3-06/10/25 (Operator: pthyde123, Time: )"
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6881","B4I_2025_IL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","1.4","3.65","","","","2025-April-25","2025-July-08","140","Urbana, IL","704449","IL23-723","IL23-723","plot","754992","B4I_2025_IL_1006","1","7","1006","10","35","test","","733329","ND VICTORY","","1772.996445","346.9660362","150","10","2","174","150","582.9988311","114.0897908","177","9","40","60","76.2","18","43","84","106.68","446.0986168","T1-05/15/25_T2-05/30/25_T3-06/10/25 (Operator: pthyde123, Time: )"
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6881","B4I_2025_IL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","1.4","3.65","","","","2025-April-25","2025-July-08","140","Urbana, IL","705026","IL23-939","IL23-939","plot","754881","B4I_2025_IL_1007","1","7","1007","10","34","test","","733457","NDP250090Y","","1656.996678","324.2654947","152","5","2","174","150","522.9989514","102.3481314","175","4","39","60","71.12","20","41","85","91.44","446.0986168","T1-05/15/25_T2-05/30/25_T3-06/10/25 (Operator: pthyde123, Time: )"
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6881","B4I_2025_IL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","1.4","3.65","","","","2025-April-25","2025-July-08","140","Urbana, IL","704703","IL23-1209","IL23-1209","plot","754974","B4I_2025_IL_1008","1","7","1008","10","33","test","","733489","NDP250187G","","1812.996365","354.7938092","151","10","1","175","151","376.9992441","73.7767601","177","4","34","56","71.12","21","42","80","96.52","443.45898","T1-05/15/25_T2-05/30/25_T3-06/10/25 (Operator: pthyde123, Time: )"
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6881","B4I_2025_IL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","1.4","3.65","","","","2025-April-25","2025-July-08","140","Urbana, IL","704449","IL23-723","IL23-723","plot","754872","B4I_2025_IL_1009","1","7","1009","10","32","test","","733450","NDP250027G","","1804.996381","353.2282546","149","5","1","173","149","452.9990918","88.64952872","175","5","34","52","60.96","19","44","76","96.52","427.6211593","T1-05/15/25_T2-05/30/25_T3-06/10/25 (Operator: pthyde123, Time: )"
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6881","B4I_2025_IL","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","1.4","3.65","","","","2025-April-25","2025-July-08","140","Urbana, IL","544368","IL22-251","","plot","754810","B4I_2025_IL_101","1","1","101","1","1","test","","733476","NDP170133G","","2437.995112","477.1027616","150","20","3","174","147","197.999603","38.74747613","174","6","33","67","55.88","25","38","72","83.82","440.8193433","T1-05/15/25_T2-05/30/25_T3-06/10/25 (Operator: pthyde123, Time: )"
