studyYear,programDbId,programName,programDescription,studyDbId,studyName,studyDescription,studyDesign,plotWidth,plotLength,fieldSize,fieldTrialIsPlannedToBeGenotyped,fieldTrialIsPlannedToCross,plantingDate,harvestDate,locationDbId,locationName,germplasmDbId,germplasmName,germplasmSynonyms,observationLevel,observationUnitDbId,observationUnitName,replicate,blockNumber,plotNumber,rowNumber,colNumber,entryType,plantNumber,intercropGermplasmDbId,intercropGermplasmName,germplasmEntryNumber,Heading date - Julian day|CO_350:0000270,Lodging severity - 0-9 Rating|CO_350:0005007,Maturity date - Julian day|CO_350:0000271,Pea Flowering Date - 10% - Julian Day|CO_xxx:0003014,Pea Maturity Date - Julian Day|CO_xxx:0003015,Pea Plant Establishment - plants/ft2|CO_xxx:0003011,Pea Plant Height - cm|timepoint 1|COMP:0000122,Pea Plant Height - cm|timepoint 2|COMP:0000123,Pea Plant Height - cm|timepoint 3|COMP:0000124,Plant establishment - plants/ft2|CO_350:0005124,Plant height - cm|timepoint 1|COMP:0000114,Plant height - cm|timepoint 2|COMP:0000115,Plant height - cm|timepoint 3|COMP:0000116,notes
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6823,B4I_2025_ND,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,2025-May-12,2025-August-20,49,"Carrington, ND",514828,IL20-677,IL2020-677,plot,734593,B4I_2025_ND_4001,1,4,4001,1,1,test,,733343,NDP250059Y,,177,4,208,186,219,,,,,,,,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6823,B4I_2025_ND,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,2025-May-12,2025-August-20,49,"Carrington, ND",514828,IL20-677,IL2020-677,subplot,740920,B4I_2025_ND_4001_subplot_1,1,4,4001,1,1,test,,,,,,,,,,5,21,65,79,14,31,73,75,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6823,B4I_2025_ND,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,2025-May-12,2025-August-20,49,"Carrington, ND",514828,IL20-677,IL2020-677,subplot,740921,B4I_2025_ND_4001_subplot_2,1,4,4001,1,1,test,,,,,,,,,,11,22,68,77,12,28,70,71,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6823,B4I_2025_ND,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,2025-May-12,2025-August-20,49,"Carrington, ND",514828,IL20-677,IL2020-677,subplot,740922,B4I_2025_ND_4001_subplot_3,1,4,4001,1,1,test,,,,,,,,,,4,21,65,72,9,29,70,69,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6823,B4I_2025_ND,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,2025-May-12,2025-August-20,49,"Carrington, ND",704732,IL23-1206,IL23-1206,plot,734324,B4I_2025_ND_4002,1,4,4002,1,2,test,,733495,NDP250078Y,,177,2,205,185,218,,,,,,,,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6823,B4I_2025_ND,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,2025-May-12,2025-August-20,49,"Carrington, ND",704732,IL23-1206,IL23-1206,subplot,740851,B4I_2025_ND_4002_subplot_1,1,4,4002,1,2,test,,,,,,,,,,6,17,58,58,9,22,60,62,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6823,B4I_2025_ND,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,2025-May-12,2025-August-20,49,"Carrington, ND",704732,IL23-1206,IL23-1206,subplot,740852,B4I_2025_ND_4002_subplot_2,1,4,4002,1,2,test,,,,,,,,,,9,18,52,60,12,24,61,60,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6823,B4I_2025_ND,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,2025-May-12,2025-August-20,49,"Carrington, ND",704732,IL23-1206,IL23-1206,subplot,740853,B4I_2025_ND_4002_subplot_3,1,4,4002,1,2,test,,,,,,,,,,7,18,54,69,13,23,64,62,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6823,B4I_2025_ND,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,2025-May-12,2025-August-20,49,"Carrington, ND",514968,IL20-7727,IL2020-7727,plot,734468,B4I_2025_ND_4003,1,4,4003,1,3,test,,733493,NDP250083Y,,177,1,213,186,218,,,,,,,,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6823,B4I_2025_ND,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,2025-May-12,2025-August-20,49,"Carrington, ND",514968,IL20-7727,IL2020-7727,subplot,741535,B4I_2025_ND_4003_subplot_1,1,4,4003,1,3,test,,,,,,,,,,8,17,53,50,13,25,69,76,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6823,B4I_2025_ND,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,2025-May-12,2025-August-20,49,"Carrington, ND",514968,IL20-7727,IL2020-7727,subplot,741536,B4I_2025_ND_4003_subplot_2,1,4,4003,1,3,test,,,,,,,,,,9,15,50,58,11,26,67,80,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6823,B4I_2025_ND,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,2025-May-12,2025-August-20,49,"Carrington, ND",514968,IL20-7727,IL2020-7727,subplot,741537,B4I_2025_ND_4003_subplot_3,1,4,4003,1,3,test,,,,,,,,,,7,14,55,61,12,26,74,80,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6823,B4I_2025_ND,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,2025-May-12,2025-August-20,49,"Carrington, ND",704948,IL23-376,IL23-376,plot,734510,B4I_2025_ND_4004,1,4,4004,1,4,test,,733454,NDP150412G,,180,1,217,182,215,,,,,,,,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6823,B4I_2025_ND,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,2025-May-12,2025-August-20,49,"Carrington, ND",704948,IL23-376,IL23-376,subplot,741418,B4I_2025_ND_4004_subplot_1,1,4,4004,1,4,test,,,,,,,,,,6,20,55,65,9,22,65,69,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6823,B4I_2025_ND,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,2025-May-12,2025-August-20,49,"Carrington, ND",704948,IL23-376,IL23-376,subplot,741419,B4I_2025_ND_4004_subplot_2,1,4,4004,1,4,test,,,,,,,,,,7,15,54,63,13,20,64,71,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6823,B4I_2025_ND,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,2025-May-12,2025-August-20,49,"Carrington, ND",704948,IL23-376,IL23-376,subplot,741420,B4I_2025_ND_4004_subplot_3,1,4,4004,1,4,test,,,,,,,,,,7,17,49,60,10,25,67,72,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6823,B4I_2025_ND,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,2025-May-12,2025-August-20,49,"Carrington, ND",704487,IL23-669,IL23-669,plot,734427,B4I_2025_ND_4005,1,4,4005,1,5,test,,733451,NDP250045Y,,178,2,217,184,217,,,,,,,,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6823,B4I_2025_ND,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,2025-May-12,2025-August-20,49,"Carrington, ND",704487,IL23-669,IL23-669,subplot,740944,B4I_2025_ND_4005_subplot_1,1,4,4005,1,5,test,,,,,,,,,,5,20,56,65,16,23,52,64,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6823,B4I_2025_ND,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,2025-May-12,2025-August-20,49,"Carrington, ND",704487,IL23-669,IL23-669,subplot,740945,B4I_2025_ND_4005_subplot_2,1,4,4005,1,5,test,,,,,,,,,,8,21,61,65,12,23,57,64,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6823,B4I_2025_ND,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,2025-May-12,2025-August-20,49,"Carrington, ND",704487,IL23-669,IL23-669,subplot,740946,B4I_2025_ND_4005_subplot_3,1,4,4005,1,5,test,,,,,,,,,,8,22,60,65,12,24,58,67,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6823,B4I_2025_ND,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,2025-May-12,2025-August-20,49,"Carrington, ND",202048,IL17-3125,,plot,734352,B4I_2025_ND_4006,1,4,4006,1,6,test,,733281,NDP250170Y,,179,1,216,184,219,,,,,,,,,
2025,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,6823,B4I_2025_ND,B4I 2025 spring oat pea intercrop trial with five locations,p-rep,,,,,,2025-May-12,2025-August-20,49,"Carrington, ND",202048,IL17-3125,,subplot,741619,B4I_2025_ND_4006_subplot_1,1,4,4006,1,6,test,,,,,,,,,,6,15,45,51,9,24,72,76,
