"studyYear","programDbId","programName","programDescription","studyDbId","studyName","studyDescription","studyDesign","plotWidth","plotLength","fieldSize","fieldTrialIsPlannedToBeGenotyped","fieldTrialIsPlannedToCross","plantingDate","harvestDate","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","rowNumber","colNumber","entryType","plantNumber","intercropGermplasmDbId","intercropGermplasmName","germplasmEntryNumber","Crown rust severity (flag leaf) - percent|CO_350:0005029","Crown rust severity (flag leaf) - percent|day 153|COMP:0000162","Crown rust severity (flag leaf) - percent|day 161|COMP:0000163","Grain moisture content - percent|CO_350:0000536","Grain weight - g|CO_350:0005123","Grain yield - g/m2|CO_350:0000260","Heading date - Julian day|CO_350:0000270","Lodging severity - 0-9 Rating|CO_350:0005007","Maturity date - Julian day|CO_350:0000271","Pea Flowering Date - 10% - Julian Day|CO_xxx:0003014","Pea Grain Moisture Content - %|CO_xxx:0003018","Pea Grain Weight - g|CO_xxx:0003006","Pea Grain Yield - g/m2|CO_xxx:0003008","Pea Maturity Date - Julian Day|CO_xxx:0003015","Pea Plant Establishment - plants/ft2|CO_xxx:0003011","Pea Plant Height - cm|timepoint 1|COMP:0000122","Pea Plant Height - cm|timepoint 2|COMP:0000123","Pea Plant Height - cm|timepoint 3|COMP:0000124","Pea Plant Height - cm|timepoint 4|COMP:0000125","Pea Test Weight - g/L|CO_xxx:0003016","Pea Thousand Grain Weight - g|CO_xxx:0003017","Plant establishment - plants/ft2|CO_350:0005124","Plant height - cm|timepoint 1|COMP:0000114","Plant height - cm|timepoint 2|COMP:0000115","Plant height - cm|timepoint 3|COMP:0000116","Plant height - cm|timepoint 4|COMP:0000117","Test weight - g/L|CO_350:0000259","Thousand grain weight - g|CO_350:0000251","notes"
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6824","B4I_2025_NY","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-April-25","2025-August-06","82","Ithaca, NY","544279","IL22-5365","","plot","734848","B4I_2025_NY_5001","1","5","5001","1","1","test","","733446","NDP160034Y","","60","5","60","8.32606939327964","604","127.1578947","168","6","197","176","","201.9","42.50526316","204","","","","","","916.99999083","","","","","","","500.100738383009","27.5",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6824","B4I_2025_NY","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-April-25","2025-August-06","82","Ithaca, NY","544279","IL22-5365","","subplot","736821","B4I_2025_NY_5001_subplot_1","1","5","5001","1","1","test","","","","","","","","","","","","","","","","","","","3","12","70","85","69","","","8","27","83","101","96","","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6824","B4I_2025_NY","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-April-25","2025-August-06","82","Ithaca, NY","544279","IL22-5365","","subplot","736822","B4I_2025_NY_5001_subplot_2","1","5","5001","1","1","test","","","","","","","","","","","","","","","","","","","2","16","69","86","38","","","13","25","95","110","37","","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6824","B4I_2025_NY","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-April-25","2025-August-06","82","Ithaca, NY","544279","IL22-5365","","subplot","736823","B4I_2025_NY_5001_subplot_3","1","5","5001","1","1","test","","","","","","","","","","","","","","","","","","","8","14","79","88","64","","","19","31","93","108","89","","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6824","B4I_2025_NY","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-April-25","2025-August-06","82","Ithaca, NY","544279","IL22-5365","","plot","735081","B4I_2025_NY_5002","1","5","5002","1","2","test","","733475","NDP250123Y","","60","5","60","9.03323216436236","639.2","132.8207792","168","7","198","171","","285.3","59.28311688","203","","","","","","926.45453619","","","","","","","521.471835874671","20.2",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6824","B4I_2025_NY","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-April-25","2025-August-06","82","Ithaca, NY","544279","IL22-5365","","subplot","737430","B4I_2025_NY_5002_subplot_1","1","5","5002","1","2","test","","","","","","","","","","","","","","","","","","","8","15","68","69","54","","","13","33","91","107","80","","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6824","B4I_2025_NY","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-April-25","2025-August-06","82","Ithaca, NY","544279","IL22-5365","","subplot","737431","B4I_2025_NY_5002_subplot_2","1","5","5002","1","2","test","","","","","","","","","","","","","","","","","","","4","19","70","79","37","","","26","31","88","107","63","","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6824","B4I_2025_NY","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-April-25","2025-August-06","82","Ithaca, NY","544279","IL22-5365","","subplot","737432","B4I_2025_NY_5002_subplot_3","1","5","5002","1","2","test","","","","","","","","","","","","","","","","","","","3","20","71","81","51","","","10","33","90","103","24","","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6824","B4I_2025_NY","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-April-25","2025-August-06","82","Ithaca, NY","530654","IL21-4364","","plot","734918","B4I_2025_NY_5003","1","5","5003","1","3","test","","733342","NDP250178Y","","100","10","100","8.97125017037289","573.5","122.3466667","166","8","197","173","8.89576208653101","466.3","99.47733333","200","","","","","","1034.81796084209","220.5","","","","","","569.642445977423","20.3",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6824","B4I_2025_NY","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-April-25","2025-August-06","82","Ithaca, NY","530654","IL21-4364","","subplot","737358","B4I_2025_NY_5003_subplot_1","1","5","5003","1","3","test","","","","","","","","","","","","","","","","","","","2","18","46","82","78","","","9","25","64","71","89","","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6824","B4I_2025_NY","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-April-25","2025-August-06","82","Ithaca, NY","530654","IL21-4364","","subplot","737359","B4I_2025_NY_5003_subplot_2","1","5","5003","1","3","test","","","","","","","","","","","","","","","","","","","8","15","71","81","76","","","28","29","70","74","100","","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6824","B4I_2025_NY","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-April-25","2025-August-06","82","Ithaca, NY","530654","IL21-4364","","subplot","737360","B4I_2025_NY_5003_subplot_3","1","5","5003","1","3","test","","","","","","","","","","","","","","","","","","","6","16","86","87","79","","","20","21","73","71","96","","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6824","B4I_2025_NY","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-April-25","2025-August-06","82","Ithaca, NY","530784","IL21-4020","","plot","734939","B4I_2025_NY_5004","1","5","5004","1","4","test","","733462","NDP250155Y","","100","5","100","8.93886239939834","524.3","104.86","169","5","198","174","","287.5","57.5","204","","","","","","940.09089969","","","","","","","442.470557026048","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6824","B4I_2025_NY","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-April-25","2025-August-06","82","Ithaca, NY","530784","IL21-4020","","subplot","737553","B4I_2025_NY_5004_subplot_1","1","5","5004","1","4","test","","","","","","","","","","","","","","","","","","","8","17","78","79","78","","","24","25","79","96","","","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6824","B4I_2025_NY","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-April-25","2025-August-06","82","Ithaca, NY","530784","IL21-4020","","subplot","737554","B4I_2025_NY_5004_subplot_2","1","5","5004","1","4","test","","","","","","","","","","","","","","","","","","","15","18","81","87","78","","","16","27","76","103","96","","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6824","B4I_2025_NY","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-April-25","2025-August-06","82","Ithaca, NY","530784","IL21-4020","","subplot","737555","B4I_2025_NY_5004_subplot_3","1","5","5004","1","4","test","","","","","","","","","","","","","","","","","","","6","17","73","84","83","","","16","28","73","98","96","","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6824","B4I_2025_NY","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-April-25","2025-August-06","82","Ithaca, NY","704492","IL23-1619","IL23-1619","plot","734972","B4I_2025_NY_5005","1","5","5005","1","5","test","","733423","NDP150221G","","100","20","100","11.0324998211173","352.6","69.64938272","171","8","202","174","8.8716859935159","454.7","89.81728395","205","","","","","","1044.21915898622","224.2","","","","","","410.138865403479","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6824","B4I_2025_NY","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-April-25","2025-August-06","82","Ithaca, NY","704492","IL23-1619","IL23-1619","subplot","737625","B4I_2025_NY_5005_subplot_1","1","5","5005","1","5","test","","","","","","","","","","","","","","","","","","","4","13","67","83","75","","","5","23","60","99","88","","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6824","B4I_2025_NY","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-April-25","2025-August-06","82","Ithaca, NY","704492","IL23-1619","IL23-1619","subplot","737626","B4I_2025_NY_5005_subplot_2","1","5","5005","1","5","test","","","","","","","","","","","","","","","","","","","5","22","70","86","36","","","32","29","80","102","40","","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6824","B4I_2025_NY","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-April-25","2025-August-06","82","Ithaca, NY","704492","IL23-1619","IL23-1619","subplot","737627","B4I_2025_NY_5005_subplot_3","1","5","5005","1","5","test","","","","","","","","","","","","","","","","","","","7","20","80","90","6932","","","14","35","80","101","43","","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6824","B4I_2025_NY","B4I 2025 spring oat pea intercrop trial with five locations","p-rep","","","","","","2025-April-25","2025-August-06","82","Ithaca, NY","704679","IL23-3842","IL23-3842","plot","735096","B4I_2025_NY_5006","1","5","5006","1","6","test","","733395","NDP250131Y","","40","5","40","9.56614939282984","754.9","147.297561","172","7","204","174","9.27763764253313","316.1","61.67804878","203","","","","","","1011.41899694765","194.2","","","","","","461.422392267574","24.5",""
