"studyYear","programDbId","programName","programDescription","studyDbId","studyName","studyDescription","studyDesign","plotWidth","plotLength","fieldSize","fieldTrialIsPlannedToBeGenotyped","fieldTrialIsPlannedToCross","plantingDate","harvestDate","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","rowNumber","colNumber","entryType","plantNumber","intercropGermplasmDbId","intercropGermplasmName","germplasmEntryNumber","Above ground dry biomass - g|timepoint 1|COMP:0000110","Above ground dry biomass - g|timepoint 2|COMP:0000111","Above ground dry biomass - g|timepoint 3|COMP:0000112","Emergence|day 128|COMP:0000130","Pea Aboveground Dry Biomass - g|timepoint 1|COMP:0000118","Pea Aboveground Dry Biomass - g|timepoint 2|COMP:0000119","Pea Aboveground Dry Biomass - g|timepoint 3|COMP:0000120","Pea Plant Establishment - plants/ft2|CO_xxx:0003011","Pea Plant Height - cm|timepoint 1|COMP:0000122","Pea Plant Height - cm|timepoint 2|COMP:0000123","Pea Plant Height - cm|timepoint 3|COMP:0000124","Plant establishment - plants/ft2|CO_350:0005124","Plant height - cm|timepoint 1|COMP:0000114","Plant height - cm|timepoint 2|COMP:0000115","Plant height - cm|timepoint 3|COMP:0000116","Weed above ground dry biomass - g|timepoint 1|COMP:0000126","Weed above ground dry biomass - g|timepoint 2|COMP:0000127","Weed above ground dry biomass - g|timepoint 3|COMP:0000128","notes"
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6830","B4I_2025_PM3D_NY","B4I 2025 PM3D biomass sampling plots","CRD","","","","","","","","82","Ithaca, NY","703605","NO_OATS_PLANTED","","plot","737945","B4I_2025_PM3D_NY_01","1","1","1","1","1","test","","733333","NDP150231Y","","","","","","","","","","","","","","","","","","","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6830","B4I_2025_PM3D_NY","B4I 2025 PM3D biomass sampling plots","CRD","","","","","","","","82","Ithaca, NY","703605","NO_OATS_PLANTED","","subplot","741910","B4I_2025_PM3D_NY_01_subplot_1","1","1","1","1","1","test","","","","","0","","","content://com.android.externalstorage.documents/tree/primary%3AField%20Book%20/document/primary%3AField%20Book%20%2Fplot_data%2FB4I_2025_PM3D_NY_subplot%2FStand%20Count%202025.05.08%2F741910_Stand%20Count%202025.05.08_2025-05-08%2010_33_51.946-04_00.jpg","33.9","","","14","18","74","","0","0","NA","","0.3","","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6830","B4I_2025_PM3D_NY","B4I 2025 PM3D biomass sampling plots","CRD","","","","","","","","82","Ithaca, NY","703605","NO_OATS_PLANTED","","subplot","741911","B4I_2025_PM3D_NY_01_subplot_2","1","1","1","1","1","test","","","","","","0","","content://com.android.externalstorage.documents/tree/primary%3AField%20Book%20/document/primary%3AField%20Book%20%2Fplot_data%2FB4I_2025_PM3D_NY_subplot%2FStand%20Count%202025.05.08%2F741911_Stand%20Count%202025.05.08_2025-05-08%2010_34_53.404-04_00.jpg","","364.9","","18","19","79","","0","0","NA","","","23.9","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6830","B4I_2025_PM3D_NY","B4I 2025 PM3D biomass sampling plots","CRD","","","","","","","","82","Ithaca, NY","703605","NO_OATS_PLANTED","","subplot","741912","B4I_2025_PM3D_NY_01_subplot_3","1","1","1","1","1","test","","","","","","","0","content://com.android.externalstorage.documents/tree/primary%3AField%20Book%20/document/primary%3AField%20Book%20%2Fplot_data%2FB4I_2025_PM3D_NY_subplot%2FStand%20Count%202025.05.08%2F741912_Stand%20Count%202025.05.08_2025-05-08%2010_35_13.712-04_00.jpg","","","314.8","11","15","66","79","0","0","NA","NA","","","77.0",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6830","B4I_2025_PM3D_NY","B4I 2025 PM3D biomass sampling plots","CRD","","","","","","","","82","Ithaca, NY","732546","ND210038","ND210038","plot","737939","B4I_2025_PM3D_NY_02","1","1","2","2","1","test","","733372","ND DAWN","","","","","","","","","","","","","","","","","","","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6830","B4I_2025_PM3D_NY","B4I 2025 PM3D biomass sampling plots","CRD","","","","","","","","82","Ithaca, NY","732546","ND210038","ND210038","subplot","741859","B4I_2025_PM3D_NY_02_subplot_1","1","1","2","2","1","test","","","","","","","418.1","content://com.android.externalstorage.documents/tree/primary%3AField%20Book%20/document/primary%3AField%20Book%20%2Fplot_data%2FB4I_2025_PM3D_NY_subplot%2FStand%20Count%202025.05.08%2F741859_Stand%20Count%202025.05.08_2025-05-08%2010_35_40.798-04_00.jpg","","","122.6","16","20","75","80","30","32","84","114","","","35.4",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6830","B4I_2025_PM3D_NY","B4I 2025 PM3D biomass sampling plots","CRD","","","","","","","","82","Ithaca, NY","732546","ND210038","ND210038","subplot","741860","B4I_2025_PM3D_NY_02_subplot_2","1","1","2","2","1","test","","","","","","251.6","","content://com.android.externalstorage.documents/tree/primary%3AField%20Book%20/document/primary%3AField%20Book%20%2Fplot_data%2FB4I_2025_PM3D_NY_subplot%2FStand%20Count%202025.05.08%2F741860_Stand%20Count%202025.05.08_2025-05-08%2010_36_01.178-04_00.jpg","","59","","11","20","74","","24","26","84","","","6.1","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6830","B4I_2025_PM3D_NY","B4I 2025 PM3D biomass sampling plots","CRD","","","","","","","","82","Ithaca, NY","732546","ND210038","ND210038","subplot","741861","B4I_2025_PM3D_NY_02_subplot_3","1","1","2","2","1","test","","","","","27.1","","","content://com.android.externalstorage.documents/tree/primary%3AField%20Book%20/document/primary%3AField%20Book%20%2Fplot_data%2FB4I_2025_PM3D_NY_subplot%2FStand%20Count%202025.05.08%2F741861_Stand%20Count%202025.05.08_2025-05-08%2010_36_22.049-04_00.jpg","7.1","","","5","18","65","","12","26","78","","1.1","","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6830","B4I_2025_PM3D_NY","B4I 2025 PM3D biomass sampling plots","CRD","","","","","","","","82","Ithaca, NY","202026","IL17-1704","","plot","737942","B4I_2025_PM3D_NY_03","1","1","3","3","1","test","","737915","NO_PEAS_PLANTED","","","","","","","","","","","","","","","","","","","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6830","B4I_2025_PM3D_NY","B4I 2025 PM3D biomass sampling plots","CRD","","","","","","","","82","Ithaca, NY","202026","IL17-1704","","subplot","741886","B4I_2025_PM3D_NY_03_subplot_1","1","1","3","3","1","test","","","","","53.8","","","content://com.android.externalstorage.documents/tree/primary%3AField%20Book%20/document/primary%3AField%20Book%20%2Fplot_data%2FB4I_2025_PM3D_NY_subplot%2FStand%20Count%202025.05.08%2F741886_Stand%20Count%202025.05.08_2025-05-08%2010_36_43.405-04_00.jpg","0","","","0","0","NA","","28","30","76","","0.4","","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6830","B4I_2025_PM3D_NY","B4I 2025 PM3D biomass sampling plots","CRD","","","","","","","","82","Ithaca, NY","202026","IL17-1704","","subplot","741887","B4I_2025_PM3D_NY_03_subplot_2","1","1","3","3","1","test","","","","","","","431.3","content://com.android.externalstorage.documents/tree/primary%3AField%20Book%20/document/primary%3AField%20Book%20%2Fplot_data%2FB4I_2025_PM3D_NY_subplot%2FStand%20Count%202025.05.08%2F741887_Stand%20Count%202025.05.08_2025-05-08%2010_37_02.562-04_00.jpg","","","0","0","0","NA","NA","31","30","88","109","","","8.4",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6830","B4I_2025_PM3D_NY","B4I 2025 PM3D biomass sampling plots","CRD","","","","","","","","82","Ithaca, NY","202026","IL17-1704","","subplot","741888","B4I_2025_PM3D_NY_03_subplot_3","1","1","3","3","1","test","","","","","","271.3","","content://com.android.externalstorage.documents/tree/primary%3AField%20Book%20/document/primary%3AField%20Book%20%2Fplot_data%2FB4I_2025_PM3D_NY_subplot%2FStand%20Count%202025.05.08%2F741888_Stand%20Count%202025.05.08_2025-05-08%2010_37_22.270-04_00.jpg","","0","","0","0","NA","","31","31","79","","","16.3","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6830","B4I_2025_PM3D_NY","B4I 2025 PM3D biomass sampling plots","CRD","","","","","","","","82","Ithaca, NY","737914","ND Spilde","","plot","737952","B4I_2025_PM3D_NY_04","1","1","4","4","1","test","","737915","NO_PEAS_PLANTED","","","","","","","","","","","","","","","","","","","",""
