studyName,studyYear,studyLoc,replicate,blockNumber,rowNumber,colNumber,plotNumber,germplasmName,intercropGermplasmName,observationLevel,observationUnitName,Oat_Height_1,Oat_Height_2,Oat_Height_3,Pea_Height_1,Pea_Height_2,Pea_Height_3,Oat_establishment,Pea_establishment,Lodging,Oat_Heading_Date,Pea_Flowering_Date
B4I_2025_AL,2025,AL,1,1,1,1,1001,IL23-260,NDP250174Y,plot,B4I_2025_AL_1001,26,66,26,18,39,18,12,5,0,122,115
B4I_2025_AL,2025,AL,1,1,1,1,1001,IL23-260,NA,subplot,B4I_2025_AL_1001_subplot_1,26,71,NA,16,37,NA,11,5,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,1,1001,IL23-260,NA,subplot,B4I_2025_AL_1001_subplot_2,23,61,NA,15,37,NA,12,3,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,1,1001,IL23-260,NA,subplot,B4I_2025_AL_1001_subplot_3,26,66,NA,18,39,NA,12,5,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,2,1002,IL23-963,NDP170336G,plot,B4I_2025_AL_1002,21,68,21,17,42,17,10,1,0,122,115
B4I_2025_AL,2025,AL,1,1,1,2,1002,IL23-963,NA,subplot,B4I_2025_AL_1002_subplot_1,25,64,NA,20,45,NA,14,3,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,2,1002,IL23-963,NA,subplot,B4I_2025_AL_1002_subplot_2,24,64,NA,21,52,NA,10,1,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,2,1002,IL23-963,NA,subplot,B4I_2025_AL_1002_subplot_3,21,68,NA,17,42,NA,10,1,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,3,1003,IL23-2956,NDP250149G,plot,B4I_2025_AL_1003,21,74,21,21,46,21,17,6,1,122,115
B4I_2025_AL,2025,AL,1,1,1,3,1003,IL23-2956,NA,subplot,B4I_2025_AL_1003_subplot_1,23,75,NA,18,38,NA,12,3,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,3,1003,IL23-2956,NA,subplot,B4I_2025_AL_1003_subplot_2,24,73,NA,19,45,NA,9,3,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,3,1003,IL23-2956,NA,subplot,B4I_2025_AL_1003_subplot_3,21,74,NA,21,46,NA,17,6,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,4,1004,IL23-1650,NDP250127Y,plot,B4I_2025_AL_1004,24,68,24,19,36,19,7,5,0,119,115
B4I_2025_AL,2025,AL,1,1,1,4,1004,IL23-1650,NA,subplot,B4I_2025_AL_1004_subplot_1,24,71,NA,22,36,NA,12,3,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,4,1004,IL23-1650,NA,subplot,B4I_2025_AL_1004_subplot_2,24,64,NA,22,35,NA,11,5,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,4,1004,IL23-1650,NA,subplot,B4I_2025_AL_1004_subplot_3,24,68,NA,19,36,NA,7,5,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,5,1005,IL23-723,NDP250049Y,plot,B4I_2025_AL_1005,31,77,31,17,41,17,11,3,0,125,119
B4I_2025_AL,2025,AL,1,1,1,5,1005,IL23-723,NA,subplot,B4I_2025_AL_1005_subplot_1,29,72,NA,22,41,NA,7,3,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,5,1005,IL23-723,NA,subplot,B4I_2025_AL_1005_subplot_2,28,82,NA,18,46,NA,9,5,NA,NA,NA
B4I_2025_AL,2025,AL,1,1,1,5,1005,IL23-723,NA,subplot,B4I_2025_AL_1005_subplot_3,31,77,NA,17,41,NA,11,3,NA,NA,NA
