"studyYear","programDbId","programName","programDescription","studyDbId","studyName","studyDescription","studyDesign","plotWidth","plotLength","fieldSize","fieldTrialIsPlannedToBeGenotyped","fieldTrialIsPlannedToCross","plantingDate","harvestDate","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","germplasmEntryNumber","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","rowNumber","colNumber","entryType","plantNumber","Grain weight - g|CO_350:0005123","Grain yield - g/m2|CO_350:0000260","Heading date - Julian day|CO_350:0000270","Pea flowering date - Julian day|COMP:0000053","Pea grain weight - g|COMP:0000009","Pea grain yield - g/m2|COMP:0000049","Pea plant height - cm|COMP:0000010","Plant height - cm|CO_350:0000232","notes","SpringOatPeaIntercrop_2024_IL_AUSTRIAN FIELD PEAS","SpringOatPeaIntercrop_2024_IL_DS Admiral","SpringOatPeaIntercrop_2024_IL_Frostmaster Peas","SpringOatPeaIntercrop_2024_IL_Icicle Winter Peas","SpringOatPeaIntercrop_2024_IL_Maxum","SpringOatPeaIntercrop_2024_IL_ND Dawn","SpringOatPeaIntercrop_2024_IL_ND Victory","SpringOatPeaIntercrop_2024_IL_NDP140510Y","SpringOatPeaIntercrop_2024_IL_NDP150231Y","SpringOatPeaIntercrop_2024_IL_NDP150412G","SpringOatPeaIntercrop_2024_IL_Organic 4010","SpringOatPeaIntercrop_2024_IL_delta field pea"
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6682","SpringOatPeaIntercrop_2024_IL","Oat breeding programs collaborating on oat intercropping trials","Augmented","1.33","4.572","","","","2024-March-21","2024-July-08","140","Urbana, IL","510820","ND170376","ND170376","","plot","711365","SpringOatPeaIntercrop_2024_IL_1","1","1","1","8","1","test","","2045.69992","320.52","153","","","","","116.84","NA (Operator: pthyde123, Time: )","","","","","","","","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6682","SpringOatPeaIntercrop_2024_IL","Oat breeding programs collaborating on oat intercropping trials","Augmented","1.33","4.572","","","","2024-March-21","2024-July-08","140","Urbana, IL","531128","OT3120","","","plot","711527","SpringOatPeaIntercrop_2024_IL_10","1","1","10","8","10","test","","2390.42984","374.53","154","","","","","111.76","NA (Operator: pthyde123, Time: )","","","","","","","","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6682","SpringOatPeaIntercrop_2024_IL","Oat breeding programs collaborating on oat intercropping trials","Augmented","1.33","4.572","","","","2024-March-21","2024-July-08","140","Urbana, IL","102429","GOPHER","03C0700851,AA 568,BGR8099,CAP 0038,C.I. No. 2027,Copher,Favorit,GOPH,Gopher,GOPHER (ck),Gopher Oats,Minnesota No. 674,Mn 674,RL 158,RL 1793,RL 834,RL No. 158","","plot","711371","SpringOatPeaIntercrop_2024_IL_100","1","2","100","5","1","test","","1728.18552","270.77","152","","","","","116.84","NA (Operator: pthyde123, Time: )","","","","","","","","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6682","SpringOatPeaIntercrop_2024_IL","Oat breeding programs collaborating on oat intercropping trials","Augmented","1.33","4.572","","","","2024-March-21","2024-July-08","140","Urbana, IL","85606","NATTY","Natty,NATTY (ck),SD111779","","plot","711537","SpringOatPeaIntercrop_2024_IL_101","1","3","101","4","1","test","","2481.14824","388.75","148","","","","","116.84","NA (Operator: pthyde123, Time: )","","","","","","","","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6682","SpringOatPeaIntercrop_2024_IL","Oat breeding programs collaborating on oat intercropping trials","Augmented","1.33","4.572","","","","2024-March-21","2024-July-08","140","Urbana, IL","85606","NATTY","Natty,NATTY (ck),SD111779","","plot","711544","SpringOatPeaIntercrop_2024_IL_102","1","3","102","4","2","test","","1831.1","397.99","148","149","680.7","106.651988332678","101.6","111.76","lodged (Operator: pthyde123, Time: )","","","1","","","","","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6682","SpringOatPeaIntercrop_2024_IL","Oat breeding programs collaborating on oat intercropping trials","Augmented","1.33","4.572","","","","2024-March-21","2024-July-08","140","Urbana, IL","202106","IL17-5238","17-5238","","plot","711368","SpringOatPeaIntercrop_2024_IL_103","1","3","103","4","3","test","","1049","309.15","145","145","878.8","137.690270819388","96.52","111.76","lodgin80-7 (Operator: pthyde123, Time: )","","","","","1","","","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6682","SpringOatPeaIntercrop_2024_IL","Oat breeding programs collaborating on oat intercropping trials","Augmented","1.33","4.572","","","","2024-March-21","2024-July-08","140","Urbana, IL","202106","IL17-5238","17-5238","","plot","711486","SpringOatPeaIntercrop_2024_IL_104","1","3","104","4","4","test","","2785.05488","436.36","145","","","","","111.76","NA (Operator: pthyde123, Time: )","","","","","","","","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6682","SpringOatPeaIntercrop_2024_IL","Oat breeding programs collaborating on oat intercropping trials","Augmented","1.33","4.572","","","","2024-March-21","2024-July-08","140","Urbana, IL","499042","RUSHMORE","Rushmore,SD140515","","plot","711449","SpringOatPeaIntercrop_2024_IL_105","1","3","105","4","5","test","","3143.39256","492.51","150","","","","","121.92","NA (Operator: pthyde123, Time: )","","","","","","","","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6682","SpringOatPeaIntercrop_2024_IL","Oat breeding programs collaborating on oat intercropping trials","Augmented","1.33","4.572","","","","2024-March-21","2024-July-08","140","Urbana, IL","499042","RUSHMORE","Rushmore,SD140515","","plot","711416","SpringOatPeaIntercrop_2024_IL_106","1","3","106","4","6","test","","1919.1","405.8","150","145","624.4","97.8309115835523","106.68","111.76","lodging35%-5 (Operator: pthyde123, Time: )","","","","","1","","","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6682","SpringOatPeaIntercrop_2024_IL","Oat breeding programs collaborating on oat intercropping trials","Augmented","1.33","4.572","","","","2024-March-21","2024-July-08","140","Urbana, IL","499634","A10","A10","","plot","711399","SpringOatPeaIntercrop_2024_IL_107","1","3","107","4","7","test","","2485.68416","389.46","144","","","","","91.44","NA (Operator: pthyde123, Time: )","","","","","","","","","","","",""
