studyYear,programDbId,programName,programDescription,studyDbId,studyName,studyDescription,studyDesign,plotWidth,plotLength,fieldSize,fieldTrialIsPlannedToBeGenotyped,fieldTrialIsPlannedToCross,plantingDate,harvestDate,locationDbId,locationName,germplasmDbId,germplasmName,germplasmSynonyms,observationLevel,observationUnitDbId,observationUnitName,replicate,blockNumber,plotNumber,rowNumber,colNumber,entryType,plantNumber,Above ground dry biomass - g|day 157|COMP:0000019,Above ground dry biomass - g|day 172|COMP:0000020,Above ground dry biomass - g|day 192|COMP:0000021,Above ground dry biomass - g|day 214|COMP:0000022,Ear emergence|day 164|COMP:0000014,Ear emergence|day 171|COMP:0000015,Grain weight - g|day 221|COMP:0000029,Grain yield - g/m2|CO_350:0000260,Lodging severity - 0-9 Rating|day 181|COMP:0000016,Lodging severity - 0-9 Rating|day 186|COMP:0000017,Lodging severity - 0-9 Rating|day 221|COMP:0000018,Oat maturity - %|day 191|COMP:0000011,Oat maturity - %|day 200|COMP:0000012,Oat maturity - %|day 206|COMP:0000013,Pea above ground dry biomass - g|day 157|COMP:0000031,Pea above ground dry biomass - g|day 172|COMP:0000032,Pea above ground dry biomass - g|day 192|COMP:0000033,Pea above ground dry biomass - g|day 214|COMP:0000034,Pea flowering - y/n|day 164|COMP:0000035,Pea flowering - y/n|day 171|COMP:0000036,Pea fruiting - y/n|day 171|COMP:0000037,Pea grain weight - g|day 221|COMP:0000038,Pea grain yield - g/m2|COMP:0000049,Pea maturity - %|day 191|COMP:0000046,Pea maturity - %|day 200|COMP:0000047,Pea maturity - %|day 206|COMP:0000048,Pea plant establishment - plants/m2|day 153|COMP:0000045,Pea plant height - cm|day 164|COMP:0000040,Pea plant height - cm|day 180|COMP:0000041,Pea plant height - cm|day 186|COMP:0000042,Pea plant height - cm|day 200|COMP:0000043,Pea plant height - cm|day 208|COMP:0000044,Plant establishment - plants/m2|day 153|COMP:0000028,Plant height - cm|day 164|COMP:0000023,Plant height - cm|day 180|COMP:0000024,Plant height - cm|day 186|COMP:0000025,Plant height - cm|day 200|COMP:0000026,Plant height - cm|day 208|COMP:0000027,notes,Cornell_OatPeaIntercropPilot_2023_Ithaca_pea_genotype_AUSTRIAN FIELD PEAS,Cornell_OatPeaIntercropPilot_2023_Ithaca_pea_genotype_DS Admiral,Cornell_OatPeaIntercropPilot_2023_Ithaca_pea_genotype_Frostmaster Peas,Cornell_OatPeaIntercropPilot_2023_Ithaca_pea_genotype_Icicle Winter Peas,Cornell_OatPeaIntercropPilot_2023_Ithaca_pea_genotype_Maxum,Cornell_OatPeaIntercropPilot_2023_Ithaca_pea_genotype_ND Dawn,Cornell_OatPeaIntercropPilot_2023_Ithaca_pea_genotype_ND Victory,Cornell_OatPeaIntercropPilot_2023_Ithaca_pea_genotype_NDP140510Y,Cornell_OatPeaIntercropPilot_2023_Ithaca_pea_genotype_NDP150231Y,Cornell_OatPeaIntercropPilot_2023_Ithaca_pea_genotype_NDP150412G,Cornell_OatPeaIntercropPilot_2023_Ithaca_pea_genotype_Organic 4010,Cornell_OatPeaIntercropPilot_2023_Ithaca_pea_genotype_delta field pea
2023,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,5040,Cornell_OatPeaIntercropPilot_2023_Ithaca,MultiEnvironment Oat Pea Intercropping,Augmented,1.26,3,,,,2023-April-13,,173,"Ithaca, NY - Caldwell",97939,SABER,"CV-377,IL02-8658",plot,548251,Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_1,1,1,1,1,1,test,,,,,,1,1,225.2,99.29453263,3,8,9,40,80,95,,,,,0,1,0,371.5,163.8007055,51,95,100,,,,,,,,,,,,," (Operator: dwaring87, Time: )",,,,,1,,,,,,,
2023,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,5040,Cornell_OatPeaIntercropPilot_2023_Ithaca,MultiEnvironment Oat Pea Intercropping,Augmented,1.26,3,,,,2023-April-13,,173,"Ithaca, NY - Caldwell",499633,A25,A25,plot,548286,Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_10,1,1,10,1,10,test,,,,,,1,1,82,36.15520282,0,0,0,60,85,95,,,,,1,1,1,200.1,88.22751323,55,100,100,,,,,,,,,,,,," (Operator: dwaring87, Time: )",,,,,,1,,,,,,
2023,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,5040,Cornell_OatPeaIntercropPilot_2023_Ithaca,MultiEnvironment Oat Pea Intercropping,Augmented,1.26,3,,,,2023-April-13,,173,"Ithaca, NY - Caldwell",510811,ND170307,ND170307,plot,548274,Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_100,1,4,100,5,1,test,,,,,,0,0,23.9,10.53791887,0,0,9,,30,80,,,,,0,1,0,167.9,74.02998236,0,75,95,,,,,,,,,,,,," (Operator: dwaring87, Time: )",,,,,,,1,,,,,
2023,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,5040,Cornell_OatPeaIntercropPilot_2023_Ithaca,MultiEnvironment Oat Pea Intercropping,Augmented,1.26,3,,,,2023-April-13,,173,"Ithaca, NY - Caldwell",510811,ND170307,ND170307,subplot,701297,Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_100_subplot_1,1,4,100,5,1,test,,,,69.9,,,,,,,,,,,,,,88,,,,,,,,,,39.68253968,54,95,100,58,56,158.7301587,58,95,85,38,48,,,,,,,,1,,,,,
2023,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,5040,Cornell_OatPeaIntercropPilot_2023_Ithaca,MultiEnvironment Oat Pea Intercropping,Augmented,1.26,3,,,,2023-April-13,,173,"Ithaca, NY - Caldwell",510811,ND170307,ND170307,subplot,701298,Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_100_subplot_2,1,4,100,5,1,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.1111111,59,100,110,94,68,111.1111111,60,100,85,78,56,,,,,,,,1,,,,,
2023,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,5040,Cornell_OatPeaIntercropPilot_2023_Ithaca,MultiEnvironment Oat Pea Intercropping,Augmented,1.26,3,,,,2023-April-13,,173,"Ithaca, NY - Caldwell",510811,ND170307,ND170307,subplot,701299,Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_100_subplot_3,1,4,100,5,1,test,,,38.5,,,,,,,,,,,,,,58.3,,,,,,,,,,,103.1746032,51,100,110,77,64,198.4126984,41,90,70,72,66,,,,,,,,1,,,,,
2023,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,5040,Cornell_OatPeaIntercropPilot_2023_Ithaca,MultiEnvironment Oat Pea Intercropping,Augmented,1.26,3,,,,2023-April-13,,173,"Ithaca, NY - Caldwell",499633,A25,A25,subplot,701498,Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_10_subplot_1,1,1,10,1,10,test,,,,98.7,,,,,,,,,,,,,,128.3,,,,,,,,,,87.3015873,40,62,60,54,55,230.1587302,60,78,75,75,70,,,,,,,1,,,,,,
2023,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,5040,Cornell_OatPeaIntercropPilot_2023_Ithaca,MultiEnvironment Oat Pea Intercropping,Augmented,1.26,3,,,,2023-April-13,,173,"Ithaca, NY - Caldwell",499633,A25,A25,subplot,701499,Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_10_subplot_2,1,1,10,1,10,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.74603175,45,66,65,66,60,79.36507937,55,78,80,75,82,,,,,,,1,,,,,,
2023,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,5040,Cornell_OatPeaIntercropPilot_2023_Ithaca,MultiEnvironment Oat Pea Intercropping,Augmented,1.26,3,,,,2023-April-13,,173,"Ithaca, NY - Caldwell",499633,A25,A25,subplot,701500,Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_10_subplot_3,1,1,10,1,10,test,,,50.3,,,,,,,,,,,,,,24.4,,,,,,,,,,,23.80952381,40,66,60,67,53,142.8571429,60,78,70,77,77,,,,,,,1,,,,,,
2023,5055,Intercropping Cooperative,Oat breeding programs collaborating on oat intercropping trials,5040,Cornell_OatPeaIntercropPilot_2023_Ithaca,MultiEnvironment Oat Pea Intercropping,Augmented,1.26,3,,,,2023-April-13,,173,"Ithaca, NY - Caldwell",108381,EXCEL,Excel,plot,548244,Cornell_OatPeaIntercropPilot_2023_Ithaca-PLOT_11,1,1,11,1,11,test,,,,,,1,1,86,37.91887125,0,0,0,10,91,100,,,,,0,1,0,498.7,219.8853616,0,80,90,,,,,,,,,,,,," (Operator: dwaring87, Time: )",,,,,,,1,,,,,
