subplot_name,subplot_id,block_number,plot_number,subplot_number,pair_plot,plot_subplot,first_harvest,second_harvest,third_harvest,fourth_harvest,harvest_1,harvest_2,harvest_3,harvest_4,ManagementFactor:SpringOatPeaIntercrop_2024_NY_biomass_T1,ManagementFactor:SpringOatPeaIntercrop_2024_NY_biomass_T2,ManagementFactor:SpringOatPeaIntercrop_2024_NY_biomass_T3,ManagementFactor:SpringOatPeaIntercrop_2024_NY_biomass_T4
SpringOatPeaIntercrop_2024_NY_1_subplot_1,714086,1,1,1,1_1,1_1,,,subplot_1,,,,1_1,,,,1,
SpringOatPeaIntercrop_2024_NY_1_subplot_2,714087,1,1,2,1_1,1_2,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_NY_1_subplot_3,714088,1,1,3,1_1,1_3,subplot_3,,,,1_3,,,,1,,,
SpringOatPeaIntercrop_2024_NY_2_subplot_1,714002,1,2,1,1_2,2_1,,,subplot_1,,,,2_1,,,,1,
SpringOatPeaIntercrop_2024_NY_2_subplot_2,714004,1,2,2,1_2,2_2,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_NY_2_subplot_3,714006,1,2,3,1_2,2_3,subplot_3,,,,2_3,,,,1,,,
SpringOatPeaIntercrop_2024_NY_3_subplot_1,714187,1,3,1,2_3,3_1,,,,subplot_1,,,,3_1,,,,1
SpringOatPeaIntercrop_2024_NY_3_subplot_2,714189,1,3,2,2_3,3_2,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_NY_3_subplot_3,714191,1,3,3,2_3,3_3,,subplot_3,,,,3_3,,,,1,,
SpringOatPeaIntercrop_2024_NY_4_subplot_1,713812,1,4,1,2_4,4_1,,,,subplot_1,,,,4_1,,,,1
SpringOatPeaIntercrop_2024_NY_4_subplot_2,713814,1,4,2,2_4,4_2,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_NY_4_subplot_3,713815,1,4,3,2_4,4_3,,subplot_3,,,,4_3,,,,1,,
SpringOatPeaIntercrop_2024_NY_5_subplot_1,714157,1,5,1,3_5,5_1,,subplot_1,,,,5_1,,,,1,,
SpringOatPeaIntercrop_2024_NY_5_subplot_2,714159,1,5,2,3_5,5_2,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_NY_5_subplot_3,714161,1,5,3,3_5,5_3,,,subplot_3,,,,5_3,,,,1,
SpringOatPeaIntercrop_2024_NY_6_subplot_1,714270,1,6,1,3_6,6_1,,subplot_1,,,,6_1,,,,1,,
SpringOatPeaIntercrop_2024_NY_6_subplot_2,714272,1,6,2,3_6,6_2,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_NY_6_subplot_3,714274,1,6,3,3_6,6_3,,,subplot_3,,,,6_3,,,,1,
SpringOatPeaIntercrop_2024_NY_7_subplot_1,714578,1,7,1,4_7,7_1,subplot_1,,,,7_1,,,,1,,,
SpringOatPeaIntercrop_2024_NY_7_subplot_2,714580,1,7,2,4_7,7_2,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_NY_7_subplot_3,714582,1,7,3,4_7,7_3,,,,subplot_3,,,,7_3,,,,1
SpringOatPeaIntercrop_2024_NY_8_subplot_1,714414,1,8,1,4_8,8_1,subplot_1,,,,8_1,,,,1,,,
SpringOatPeaIntercrop_2024_NY_8_subplot_2,714416,1,8,2,4_8,8_2,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_NY_8_subplot_3,714418,1,8,3,4_8,8_3,,,,subplot_3,,,,8_3,,,,1
SpringOatPeaIntercrop_2024_NY_9_subplot_1,714329,1,9,1,5_9,9_1,,subplot_1,,,,9_1,,,,1,,
SpringOatPeaIntercrop_2024_NY_9_subplot_2,714331,1,9,2,5_9,9_2,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_NY_9_subplot_3,714333,1,9,3,5_9,9_3,,,,subplot_3,,,,9_3,,,,1
SpringOatPeaIntercrop_2024_NY_10_subplot_1,714047,1,10,1,5_10,10_1,,subplot_1,,,,10_1,,,,1,,
SpringOatPeaIntercrop_2024_NY_10_subplot_2,714048,1,10,2,5_10,10_2,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_NY_10_subplot_3,714049,1,10,3,5_10,10_3,,,,subplot_3,,,,10_3,,,,1
SpringOatPeaIntercrop_2024_NY_11_subplot_1,714068,1,11,1,6_11,11_1,subplot_1,,,,11_1,,,,1,,,
SpringOatPeaIntercrop_2024_NY_11_subplot_2,714069,1,11,2,6_11,11_2,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_NY_11_subplot_3,714070,1,11,3,6_11,11_3,,,subplot_3,,,,11_3,,,,1,
SpringOatPeaIntercrop_2024_NY_12_subplot_1,713672,1,12,1,6_12,12_1,subplot_1,,,,12_1,,,,1,,,
SpringOatPeaIntercrop_2024_NY_12_subplot_2,713674,1,12,2,6_12,12_2,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_NY_12_subplot_3,713676,1,12,3,6_12,12_3,,,subplot_3,,,,12_3,,,,1,
SpringOatPeaIntercrop_2024_NY_13_subplot_1,714531,1,13,1,7_13,13_1,,,subplot_1,,,,13_1,,,,1,
SpringOatPeaIntercrop_2024_NY_13_subplot_2,714533,1,13,2,7_13,13_2,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_NY_13_subplot_3,714535,1,13,3,7_13,13_3,subplot_3,,,,13_3,,,,1,,,
SpringOatPeaIntercrop_2024_NY_14_subplot_1,714107,1,14,1,7_14,14_1,,,subplot_1,,,,14_1,,,,1,
SpringOatPeaIntercrop_2024_NY_14_subplot_2,714108,1,14,2,7_14,14_2,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_NY_14_subplot_3,714109,1,14,3,7_14,14_3,subplot_3,,,,14_3,,,,1,,,
SpringOatPeaIntercrop_2024_NY_15_subplot_1,713737,1,15,1,8_15,15_1,,,subplot_1,,,,15_1,,,,1,
SpringOatPeaIntercrop_2024_NY_15_subplot_2,713739,1,15,2,8_15,15_2,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_NY_15_subplot_3,713741,1,15,3,8_15,15_3,subplot_3,,,,15_3,,,,1,,,
SpringOatPeaIntercrop_2024_NY_16_subplot_1,714125,1,16,1,8_16,16_1,,,subplot_1,,,,16_1,,,,1,
SpringOatPeaIntercrop_2024_NY_16_subplot_2,714126,1,16,2,8_16,16_2,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_NY_16_subplot_3,714127,1,16,3,8_16,16_3,subplot_3,,,,16_3,,,,1,,,
SpringOatPeaIntercrop_2024_NY_17_subplot_1,714341,1,17,1,9_17,17_1,,,,subplot_1,,,,17_1,,,,1
SpringOatPeaIntercrop_2024_NY_17_subplot_2,714343,1,17,2,9_17,17_2,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_NY_17_subplot_3,714345,1,17,3,9_17,17_3,,subplot_3,,,,17_3,,,,1,,
SpringOatPeaIntercrop_2024_NY_18_subplot_1,713692,1,18,1,9_18,18_1,,,,subplot_1,,,,18_1,,,,1
SpringOatPeaIntercrop_2024_NY_18_subplot_2,713694,1,18,2,9_18,18_2,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_NY_18_subplot_3,713696,1,18,3,9_18,18_3,,subplot_3,,,,18_3,,,,1,,
SpringOatPeaIntercrop_2024_NY_19_subplot_1,714175,1,19,1,10_19,19_1,subplot_1,,,,19_1,,,,1,,,
SpringOatPeaIntercrop_2024_NY_19_subplot_2,714177,1,19,2,10_19,19_2,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_NY_19_subplot_3,714179,1,19,3,10_19,19_3,,,subplot_3,,,,19_3,,,,1,
SpringOatPeaIntercrop_2024_NY_20_subplot_1,713931,1,20,1,10_20,20_1,subplot_1,,,,20_1,,,,1,,,
SpringOatPeaIntercrop_2024_NY_20_subplot_2,713933,1,20,2,10_20,20_2,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_NY_20_subplot_3,713935,1,20,3,10_20,20_3,,,subplot_3,,,,20_3,,,,1,
SpringOatPeaIntercrop_2024_NY_21_subplot_1,713955,1,21,1,11_21,21_1,,,,subplot_1,,,,21_1,,,,1
SpringOatPeaIntercrop_2024_NY_21_subplot_2,713957,1,21,2,11_21,21_2,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_NY_21_subplot_3,713959,1,21,3,11_21,21_3,,subplot_3,,,,21_3,,,,1,,
SpringOatPeaIntercrop_2024_NY_22_subplot_1,714317,1,22,1,11_22,22_1,,,,subplot_1,,,,22_1,,,,1
SpringOatPeaIntercrop_2024_NY_22_subplot_2,714319,1,22,2,11_22,22_2,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_NY_22_subplot_3,714321,1,22,3,11_22,22_3,,subplot_3,,,,22_3,,,,1,,
SpringOatPeaIntercrop_2024_NY_23_subplot_1,713577,1,23,1,12_23,23_1,,subplot_1,,,,23_1,,,,1,,
SpringOatPeaIntercrop_2024_NY_23_subplot_2,713579,1,23,2,12_23,23_2,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_NY_23_subplot_3,713581,1,23,3,12_23,23_3,,,subplot_3,,,,23_3,,,,1,
SpringOatPeaIntercrop_2024_NY_24_subplot_1,714029,1,24,1,12_24,24_1,,subplot_1,,,,24_1,,,,1,,
SpringOatPeaIntercrop_2024_NY_24_subplot_2,714030,1,24,2,12_24,24_2,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_NY_24_subplot_3,714031,1,24,3,12_24,24_3,,,subplot_3,,,,24_3,,,,1,
SpringOatPeaIntercrop_2024_NY_25_subplot_1,714116,1,25,1,13_25,25_1,,subplot_1,,,,25_1,,,,1,,
SpringOatPeaIntercrop_2024_NY_25_subplot_2,714117,1,25,2,13_25,25_2,,,,,,,,,,,,
SpringOatPeaIntercrop_2024_NY_25_subplot_3,714118,1,25,3,13_25,25_3,,,subplot_3,,,,25_3,,,,1,
SpringOatPeaIntercrop_2024_NY_26_subplot_1,713769,1,26,1,13_26,26_1,,subplot_1,,,,26_1,,,,1,,
