"","germplasmName","Planting_Group","mean_value","se_value","count"
"1","A10","Intercrop",206.349875941852,37.9321153809065,12
"2","A10","Monoculture",213.0775,103.933163649771,4
"3","A11","Intercrop",236.491611665494,40.2792825614126,11
"4","A11","Monoculture",241.765,94.4665627351816,4
"5","A25","Intercrop",195.733257623153,31.8465631863808,12
"6","A25","Monoculture",170.7625,97.0324677942904,4
"7","BAKER","Intercrop",256.599646248358,35.2116157273749,12
"8","BAKER","Monoculture",261.615,93.9781170893877,4
"9","BUCKSKIN","Intercrop",243.156529059712,42.6306236566764,12
"10","BUCKSKIN","Monoculture",215.1525,110.297986184019,4
"11","COLT","Intercrop",230.913012098252,36.9712532623237,12
"12","COLT","Monoculture",222.85,110.480628317064,4
"13","CORRAL","Intercrop",278.77659634691,34.7975021351211,12
"14","CORRAL","Monoculture",276.4075,98.8136243452794,4
"15","DEON","Intercrop",267.632501992594,36.3003871655675,12
"16","DEON","Monoculture",276.1375,78.5362292591769,4
"17","ESKER","Intercrop",276.994999167921,40.507672450998,12
"18","ESKER","Monoculture",288.58,101.900263983956,4
"19","EXCEL","Intercrop",274.492043629422,37.28262661286,12
"20","EXCEL","Monoculture",223.3175,108.734449951476,4
"21","GOLIATH","Intercrop",253.680403849184,24.3412539051345,11
"22","GOLIATH","Monoculture",243.305,77.036803379943,4
"23","GOPHER","Intercrop",232.785262429413,28.3736526897801,12
"24","GOPHER","Monoculture",188.955,67.0723038344939,4
"25","HAYDEN","Intercrop",276.132860179253,36.122787520155,12
"26","HAYDEN","Monoculture",295.89,107.881219094583,4
"27","HORSEPOWER","Intercrop",252.358686645238,35.2442972369889,12
"28","HORSEPOWER","Monoculture",257.9425,92.4820678451594,4
"29","IL15-5752","Intercrop",223.684181349512,35.5704290956696,12
"30","IL15-5752","Monoculture",203.94,100.171204528381,4
"31","IL17-1253","Intercrop",292.122975386874,32.561270852547,18
"32","IL17-1253","Monoculture",290.271666666667,76.7857988787279,6
"33","IL17-1704","Intercrop",292.97423358695,46.3907982669577,12
"34","IL17-1704","Monoculture",272.4275,106.330707494355,4
"35","IL17-5238","Intercrop",265.277957883275,36.0270491661063,12
"36","IL17-5238","Monoculture",259.33,93.5693217174661,4
